district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Dhule,02,DISTRICT,Total,Dhule,,458359,2535715,1295288,1240427,459093,134359,1036491,1063730,1004884,861276,143608,1371171
Dhule,02,DISTRICT,Urban,Dhule,,88502,519841,271212,248629,87318,36930,41311,327470,138443,134937,3506,377892
Dhule,02,DISTRICT,Rural,Dhule,,369857,2015874,1024076,991798,371775,97429,995180,736260,866441,726339,140102,993279
Dhule,02,TOWN,Urban,Akkalkuwa (Ct),103000,1183,7711,4464,3247,1360,612,955,4846,1932,1821,111,5668
Dhule,02,TOWN,Urban,Dhule (M),300000,47469,278317,145793,132524,46402,20381,10229,183753,69478,68130,1348,207491
Dhule,02,TOWN,Urban,Dondaicha (M),106000,5949,33641,17380,16261,5903,2314,4450,18684,10479,10058,421,22741
Dhule,02,TOWN,Urban,Nandurbar (M),101000,12977,78378,40808,37570,12393,5869,7665,50298,20366,19675,691,57321
Dhule,02,TOWN,Urban,Nawapur (M),100000,4223,23958,12353,11605,4110,1217,6677,13676,6959,6777,182,16817
Dhule,02,TOWN,Urban,Shahade (M),104000,5293,31890,16460,15430,5842,2094,3243,18860,8699,8671,28,23163
Dhule,02,TOWN,Urban,Shirpur (M),105000,7532,44246,22888,21358,7726,3282,2711,25703,13367,12937,430,30449
Dhule,02,TOWN,Urban,Talode (M),102000,3876,21700,11066,10634,3582,1161,5381,11650,7163,6868,295,14242
