district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Akola,05,DISTRICT,Total,Akola,,420013,2214271,1142148,1072123,400710,264554,155695,1193942,923191,877223,45968,1245112
Akola,05,DISTRICT,Urban,Akola,,110100,634331,329291,305040,108581,62360,17640,404784,181410,177958,3452,449469
Akola,05,DISTRICT,Rural,Akola,,309913,1579940,812857,767083,292129,202194,138055,789158,741781,699265,42516,795643
Akola,05,TOWN,Urban,Akola (M),300000,59243,328034,170943,157091,53151,32831,9365,220909,88869,87510,1359,237806
Akola,05,TOWN,Urban,Akot (M),100000,11033,65681,34110,31571,11669,4819,1304,39729,20717,20365,352,44612
Akola,05,TOWN,Urban,Balapur (M),107000,4790,32276,16639,15637,7004,2111,899,17610,9147,8802,345,22784
Akola,05,TOWN,Urban,Karanja (M),102000,7713,48866,25162,23704,8924,4434,1516,29907,14145,13870,275,34446
Akola,05,TOWN,Urban,Mangrulpir (M),103000,4189,23736,12349,11387,4332,2679,919,14759,6823,6591,232,16681
Akola,05,TOWN,Urban,Murtijapur (M),101000,5873,34014,17408,16606,5430,4424,1487,21878,9840,9631,209,23965
Akola,05,TOWN,Urban,Patur (M),106000,2682,17398,9152,8246,3317,866,427,9794,5342,5261,81,11975
Akola,05,TOWN,Urban,Risod (M),105000,3463,21338,10900,10438,3974,2940,417,11267,7330,7179,151,13857
Akola,05,TOWN,Urban,Telhara (M),108000,2653,13848,7163,6685,2277,1312,463,9170,4878,4756,122,8848
Akola,05,TOWN,Urban,Washim (M),104000,8461,49140,25465,23675,8503,5944,843,29761,14319,13993,326,34495
