district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Amravati,07,DISTRICT,Total,Amravati,,427359,2200057,1136314,1063743,359201,384499,316448,1289725,887892,799075,88817,1223348
Amravati,07,DISTRICT,Urban,Amravati,,133664,717129,372800,344329,109268,97160,30979,488400,210382,201176,9206,497541
Amravati,07,DISTRICT,Rural,Amravati,,293695,1482928,763514,719414,249933,287339,285469,801325,677510,597899,79611,725807
Amravati,07,TOWN,Urban,Achalpur (M),108000,15264,96229,49594,46635,15553,10928,5795,62157,27409,26516,893,67927
Amravati,07,TOWN,Urban,Amravati (M.Corp.),300000,81691,421576,220086,201490,62417,61051,14402,294977,115718,113883,1835,304023
Amravati,07,TOWN,Urban,Anjangaon (M),106000,6960,41674,21583,20091,7326,4292,1118,25124,13747,12852,895,27032
Amravati,07,TOWN,Urban,Chandur (M),104000,2727,14203,7303,6900,1979,1828,674,9368,4884,4675,209,9110
Amravati,07,TOWN,Urban,Chandurbazar (M),109000,2497,14730,7540,7190,2322,2058,279,10159,4389,4023,366,9975
Amravati,07,TOWN,Urban,Chikhaldara (M),107000,659,3081,1708,1373,532,619,929,2227,807,781,26,2248
Amravati,07,TOWN,Urban,Daryapur Banosa (M),105000,5566,30596,15775,14821,4870,5789,1972,20314,10085,9529,556,19955
Amravati,07,TOWN,Urban,Dattapur Dhamangaon (M),103000,3912,20328,10530,9798,2661,2692,1360,14231,6104,5621,483,13741
Amravati,07,TOWN,Urban,Morshi (M),100000,5957,28571,14775,13796,4626,2697,2151,19232,9706,6811,2895,15970
Amravati,07,TOWN,Urban,Shendurjana (M),102000,3494,19278,9968,9310,2812,2156,934,12596,7712,6972,740,10826
Amravati,07,TOWN,Urban,Warud (M),101000,4937,26863,13938,12925,4170,3050,1365,18015,9821,9513,308,16734
