district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Dhule,02,DISTRICT,Total,Dhule,,458359,2535715,1295288,1240427,459093,134359,1036491,1063730,1004884,861276,143608,1371171
Dhule,02,DISTRICT,Urban,Dhule,,88502,519841,271212,248629,87318,36930,41311,327470,138443,134937,3506,377892
Dhule,02,DISTRICT,Rural,Dhule,,369857,2015874,1024076,991798,371775,97429,995180,736260,866441,726339,140102,993279
Jalgaon,03,DISTRICT,Total,Jalgaon,,596838,3187634,1642873,1544761,551835,295047,313551,1694799,1279877,1192465,87412,1820345
Jalgaon,03,DISTRICT,Urban,Jalgaon,,158033,874669,455248,419421,141949,81715,33708,558173,247145,240715,6430,621094
Jalgaon,03,DISTRICT,Rural,Jalgaon,,438805,2312965,1187625,1125340,409886,213332,279843,1136626,1032732,951750,80982,1199251
Buldana,04,DISTRICT,Total,Buldana,,352853,1886299,966017,920282,362287,216687,95389,940109,844348,790127,54221,987730
Buldana,04,DISTRICT,Urban,Buldana,,68669,388335,200910,187425,68997,37455,5966,239499,116217,111375,4842,267276
Buldana,04,DISTRICT,Rural,Buldana,,284184,1497964,765107,732857,293290,179232,89423,700610,728131,678752,49379,720454
Akola,05,DISTRICT,Total,Akola,,420013,2214271,1142148,1072123,400710,264554,155695,1193942,923191,877223,45968,1245112
Akola,05,DISTRICT,Urban,Akola,,110100,634331,329291,305040,108581,62360,17640,404784,181410,177958,3452,449469
Akola,05,DISTRICT,Rural,Akola,,309913,1579940,812857,767083,292129,202194,138055,789158,741781,699265,42516,795643
Amravati,07,DISTRICT,Total,Amravati,,427359,2200057,1136314,1063743,359201,384499,316448,1289725,887892,799075,88817,1223348
Amravati,07,DISTRICT,Urban,Amravati,,133664,717129,372800,344329,109268,97160,30979,488400,210382,201176,9206,497541
Amravati,07,DISTRICT,Rural,Amravati,,293695,1482928,763514,719414,249933,287339,285469,801325,677510,597899,79611,725807
Wardha,08,DISTRICT,Total,Wardha,,220348,1067357,550370,516987,160424,149975,166391,634434,450539,425464,25075,591743
Wardha,08,DISTRICT,Urban,Wardha,,55692,283517,146867,136650,39292,42492,23714,201068,79038,76441,2597,201882
Wardha,08,DISTRICT,Rural,Wardha,,164656,783840,403503,380337,121132,107483,142677,433366,371501,349023,22478,389861
Nagpur,09,DISTRICT,Total,Nagpur,,654520,3287139,1710404,1576735,521379,619226,457715,2036736,1167907,1103045,64862,2054370
Nagpur,09,DISTRICT,Urban,Nagpur,,394219,2030914,1060504,970410,310152,398996,222099,1392230,579860,561344,18516,1432538
Nagpur,09,DISTRICT,Rural,Nagpur,,260301,1256225,649900,606325,211227,220230,235616,644506,588047,541701,46346,621832
Bhandara,10,DISTRICT,Total,Bhandara,,433635,2107629,1060275,1047354,339377,355484,309822,1143915,965020,873446,91574,1051035
Bhandara,10,DISTRICT,Urban,Bhandara,,56303,275894,141362,134532,39784,51311,21347,192320,83454,79887,3567,188873
Bhandara,10,DISTRICT,Rural,Bhandara,,377332,1831735,918913,912822,299593,304173,288475,951595,881566,793559,88007,862162
Gadchiroli,12,DISTRICT,Total,Gadchiroli,,147594,718445,362474,355971,130594,85077,294452,236109,335519,272243,63276,319650
Gadchiroli,12,DISTRICT,Rural,Gadchiroli,,147594,718445,362474,355971,130594,85077,294452,236109,335519,272243,63276,319650
Chandrapur,13,DISTRICT,Total,Chandrapur,,403384,1840559,945677,894882,303584,310452,359252,919576,768160,693975,74185,998214
Chandrapur,13,DISTRICT,Urban,Chandrapur,,123647,565388,297443,267945,90890,116259,56207,356252,164102,157454,6648,394638
Chandrapur,13,DISTRICT,Rural,Chandrapur,,279737,1275171,648234,626937,212694,194193,303045,563324,604058,536521,67537,603576
Yavatmal,14,DISTRICT,Total,Yavatmal,,413123,2077144,1064422,1012722,368486,226820,445840,990343,923250,855593,67657,1086237
Yavatmal,14,DISTRICT,Urban,Yavatmal,,66893,356931,185405,171526,56275,44352,27875,233899,101987,98011,3976,250968
Yavatmal,14,DISTRICT,Rural,Yavatmal,,346230,1720213,879017,841196,312211,182468,417965,756444,821263,757582,63681,835269
Nanded,15,DISTRICT,Total,Nanded,,407277,2330374,1197876,1132498,490198,422942,275972,886436,926583,810705,115878,1287913
Nanded,15,DISTRICT,Urban,Nanded,,83266,506140,264565,241575,96668,72072,26002,278531,136406,129636,6770,362964
Nanded,15,DISTRICT,Rural,Nanded,,324011,1824234,933311,890923,393530,350870,249970,607905,790177,681069,109108,924949
Parbhani,17,DISTRICT,Total,Parbhani,,380148,2117035,1083794,1033241,445727,233323,111470,795240,890306,813770,76536,1150193
Parbhani,17,DISTRICT,Urban,Parbhani,,80895,476599,247818,228781,95191,48186,7906,250923,130449,127226,3223,342927
Parbhani,17,DISTRICT,Rural,Parbhani,,299253,1640436,835976,804460,350536,185137,103564,544317,759857,686544,73313,807266
Jalna,18,DISTRICT,Total,Jalna,,257513,1364425,696798,667627,292705,176452,28300,495638,599819,548953,50866,713740
Jalna,18,DISTRICT,Urban,Jalna,,43051,230728,119508,111220,46850,24840,3168,122777,65599,63683,1916,163213
Jalna,18,DISTRICT,Rural,Jalna,,214462,1133697,577290,556407,245855,151612,25132,372861,534220,485270,48950,550527
Aurangabad,19,DISTRICT,Total,Aurangabad,,424578,2213779,1151693,1062086,449351,305246,83502,1005452,886480,827615,58865,1268434
Aurangabad,19,DISTRICT,Urban,Aurangabad,,144031,725143,384877,340266,140943,125446,10101,440882,204509,199951,4558,516076
Aurangabad,19,DISTRICT,Rural,Aurangabad,,280547,1488636,766816,721820,308408,179800,73401,564570,681971,627664,54307,752358
Nashik,20,DISTRICT,Total,Nashik,,700310,3851352,1984973,1866379,725156,326755,931069,1948438,1584002,1489269,94733,2172617
Nashik,20,DISTRICT,Urban,Nashik,,266418,1369085,715065,654020,242955,147822,73976,882739,400204,391683,8521,960360
Nashik,20,DISTRICT,Rural,Nashik,,433892,2482267,1269908,1212359,482201,178933,857093,1065699,1183798,1097586,86212,1212257
Thane,21,DISTRICT,Total,Thane,,1096592,5249126,2792874,2456252,885306,271797,951205,3034674,1961704,1831849,129855,3157567
Thane,21,DISTRICT,Urban,Thane,,743059,3393207,1843255,1549952,545486,223045,103163,2273796,1147257,1123949,23308,2222642
Thane,21,DISTRICT,Rural,Thane,,353533,1855919,949619,906300,339820,48752,848042,760878,814447,707900,106547,934925
Raigarh,24,DISTRICT,Total,Raigarh,,373126,1824816,907907,916909,305993,50999,233953,971290,720103,639658,80445,1024268
Raigarh,24,DISTRICT,Urban,Raigarh,,68685,328640,172519,156121,49529,15318,21191,221511,105485,102425,3060,220095
Raigarh,24,DISTRICT,Rural,Raigarh,,304441,1496176,735388,760788,256464,35681,212762,749779,614618,537233,77385,804173
Pune,25,DISTRICT,Total,Pune,,1079140,5532532,2861460,2671072,894657,631063,216336,3295228,2051679,1872603,179076,3301777
Pune,25,DISTRICT,Urban,Pune,,574736,2807029,1473999,1333030,421159,407012,38659,1927237,871952,849431,22521,1912556
Pune,25,DISTRICT,Rural,Pune,,504404,2725503,1387461,1338042,473498,224051,177677,1367991,1179727,1023172,156555,1389221
Ahmadnagar,26,DISTRICT,Total,Ahmadnagar,,626703,3372935,1730609,1642326,614906,418479,240141,1683165,1432411,1315048,117363,1823161
Ahmadnagar,26,DISTRICT,Urban,Ahmadnagar,,101531,533481,278603,254878,86606,71418,9676,347051,169467,165887,3580,360434
Ahmadnagar,26,DISTRICT,Rural,Ahmadnagar,,525172,2839454,1452006,1387448,528300,347061,230465,1336114,1262944,1149161,113783,1462727
Bid,27,DISTRICT,Total,Bid,,367181,1822072,937410,884662,377937,244281,20515,719512,758589,660772,97817,965666
Bid,27,DISTRICT,Urban,Bid,,64703,326968,171561,155407,65212,41044,2503,185554,88675,85417,3258,235035
Bid,27,DISTRICT,Rural,Bid,,302478,1495104,765849,729255,312725,203237,18012,533958,669914,575355,94559,730631
Latur,28,DISTRICT,Total,Latur,,283757,1676641,863203,813438,338676,319568,37527,743556,656243,577163,79080,941318
Latur,28,DISTRICT,Urban,Latur,,57742,341868,180137,161731,67810,56885,4245,194230,86992,83221,3771,251105
Latur,28,DISTRICT,Rural,Latur,,226015,1334773,683066,651707,270866,262683,33282,549326,569251,493942,75309,690213
Osmanabad,29,DISTRICT,Total,Osmanabad,,233003,1276327,658896,617431,243816,208609,22463,560330,529425,480324,49101,697801
Osmanabad,29,DISTRICT,Urban,Osmanabad,,34608,193880,101832,92048,35769,29015,2855,112353,54631,52518,2113,137136
Osmanabad,29,DISTRICT,Rural,Osmanabad,,198395,1082447,557064,525383,208047,179594,19608,447977,474794,427806,46988,560665
Solapur,30,DISTRICT,Total,Solapur,,578788,3231057,1670516,1560541,580667,497913,48352,1494462,1248343,1105172,143171,1839543
Solapur,30,DISTRICT,Urban,Solapur,,164455,929483,477941,451542,151370,132219,17454,536797,279033,272798,6235,644215
Solapur,30,DISTRICT,Rural,Solapur,,414333,2301574,1192575,1108999,429297,365694,30898,957665,969310,832374,136936,1195328
Satara,31,DISTRICT,Total,Satara,,465891,2451372,1208375,1242997,397183,233014,18342,1369479,896395,701553,194842,1360135
Satara,31,DISTRICT,Urban,Satara,,59974,315840,163954,151886,43569,35669,2352,219126,91269,87969,3300,221271
Satara,31,DISTRICT,Rural,Satara,,405917,2135532,1044421,1091111,353614,197345,15990,1150353,805126,613584,191542,1138864
Ratnagiri,32,DISTRICT,Total,Ratnagiri,,324036,1544057,700190,843867,238227,27385,14847,818801,575756,456702,119054,849247
Ratnagiri,32,DISTRICT,Urban,Ratnagiri,,27167,138056,69688,68368,18492,3267,879,100318,39950,38662,1288,96818
Ratnagiri,32,DISTRICT,Rural,Ratnagiri,,296869,1406001,630502,775499,219735,24118,13968,718483,535806,418040,117766,752429
Sindhudurg,33,DISTRICT,Total,Sindhudurg,,175893,832152,389384,442768,108907,42435,3893,548276,318491,241753,76738,436923
Sindhudurg,33,DISTRICT,Urban,Sindhudurg,,14166,63150,31611,31539,7307,3102,237,49027,18301,16493,1808,43041
Sindhudurg,33,DISTRICT,Rural,Sindhudurg,,161727,769002,357773,411229,101600,39333,3656,499249,300190,225260,74930,393882
Kolhapur,34,DISTRICT,Total,Kolhapur,,567952,2989507,1524732,1464775,457849,381029,14789,1694724,1169735,960279,209456,1610316
Kolhapur,34,DISTRICT,Urban,Kolhapur,,149412,787002,411144,375858,114872,86505,1957,533072,242974,227475,15499,528529
Kolhapur,34,DISTRICT,Rural,Kolhapur,,418540,2202505,1113588,1088917,342977,294524,12832,1161652,926761,732804,193957,1081787
Sangli,35,DISTRICT,Total,Sangli,,423305,2209488,1128521,1080967,350297,277458,10784,1164092,814726,654610,160116,1234646
Sangli,35,DISTRICT,Urban,Sangli,,100157,502447,260074,242373,76750,67029,1522,315650,155536,145887,9649,337262
Sangli,35,DISTRICT,Rural,Sangli,,323148,1707041,868447,838594,273547,210429,9262,848442,659190,508723,150467,897384
