district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Aurangabad,19,DISTRICT,Total,Aurangabad,,424578,2213779,1151693,1062086,449351,305246,83502,1005452,886480,827615,58865,1268434
Aurangabad,19,DISTRICT,Urban,Aurangabad,,144031,725143,384877,340266,140943,125446,10101,440882,204509,199951,4558,516076
Aurangabad,19,DISTRICT,Rural,Aurangabad,,280547,1488636,766816,721820,308408,179800,73401,564570,681971,627664,54307,752358
Aurangabad,19,TOWN,Urban,Aurangabad (Cantt.),300200,3106,19437,10916,8521,2918,1923,1328,14026,6569,6373,196,12672
Aurangabad,19,TOWN,Urban,Aurangabad (M.Corp.),300100,116486,573272,305372,267900,112222,109105,6373,352711,159229,156426,2803,411240
Aurangabad,19,TOWN,Urban,Gangapur (M),103000,3190,17153,8915,8238,3213,1847,169,9251,5412,5117,295,11446
Aurangabad,19,TOWN,Urban,Kannad (M),101000,3496,19879,10290,9589,3884,1392,367,11416,5674,5633,41,14164
Aurangabad,19,TOWN,Urban,Khuldabad (M),100000,1637,9192,4715,4477,1734,737,229,5115,2499,2463,36,6657
Aurangabad,19,TOWN,Urban,Paithan (M),102000,5766,27718,14091,13627,5139,3386,293,15991,8267,8025,242,19209
Aurangabad,19,TOWN,Urban,Sillod (M),105000,4817,28888,15262,13626,6699,2961,896,14506,8031,7399,632,20225
Aurangabad,19,TOWN,Urban,Vaijapur (M),104000,5533,29604,15316,14288,5134,4095,446,17866,8828,8515,313,20463
