district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nashik,20,DISTRICT,Total,Nashik,,700310,3851352,1984973,1866379,725156,326755,931069,1948438,1584002,1489269,94733,2172617
Nashik,20,DISTRICT,Urban,Nashik,,266418,1369085,715065,654020,242955,147822,73976,882739,400204,391683,8521,960360
Nashik,20,DISTRICT,Rural,Nashik,,433892,2482267,1269908,1212359,482201,178933,857093,1065699,1183798,1097586,86212,1212257
Nashik,20,TOWN,Urban,Bhagur (M),300300,2244,12078,6201,5877,1884,1846,497,8320,3352,3208,144,8582
Nashik,20,TOWN,Urban,Chandvad (Ct),103000,2602,14958,8094,6864,2644,1845,1564,9188,4766,4712,54,10138
Nashik,20,TOWN,Urban,Deolali (Cantt.),300200,9693,44331,23960,20371,6696,9455,1487,30857,14232,14103,129,29970
Nashik,20,TOWN,Urban,Eklahare (Ct),300400,2488,12007,6252,5755,2288,2663,625,8024,3311,3190,121,8575
Nashik,20,TOWN,Urban,Ghoti Bk. (Ct),111000,2796,15717,8112,7605,2964,1233,998,9483,5151,4819,332,10234
Nashik,20,TOWN,Urban,Igatpuri (M),110000,4211,22868,12081,10787,3601,4439,977,16220,5997,5842,155,16716
Nashik,20,TOWN,Urban,Lasalgaon (Ct),108000,1713,9806,5245,4561,1496,686,248,7066,2924,2898,26,6856
Nashik,20,TOWN,Urban,Malegaon (M),310000,48782,342595,174667,167928,74441,9843,5209,188403,88431,87423,1008,253156
Nashik,20,TOWN,Urban,Manmad (M),104000,10987,61312,31468,29844,9996,14410,2322,39935,15399,14941,458,45455
Nashik,20,TOWN,Urban,Nandgaon (M),105000,3680,20434,10585,9849,3659,3553,883,12864,5546,5301,245,14643
Nashik,20,TOWN,Urban,Nashik (M.Corp.),300100,146688,656925,347422,309503,109700,81229,46390,446348,201287,197890,3397,452241
Nashik,20,TOWN,Urban,Ozar (Ct),107000,10036,47538,24819,22719,6123,7185,3693,35517,14382,14297,85,33071
Nashik,20,TOWN,Urban,Ravalgaon (Ct),102000,2487,12553,6494,6059,2104,2287,1776,6840,4386,3873,513,7654
Nashik,20,TOWN,Urban,Satana (M),101000,5282,27666,14379,13287,4325,1791,2113,19167,8352,8275,77,19237
Nashik,20,TOWN,Urban,Sinnar (M),109000,5520,25864,13407,12457,4201,1968,1457,16570,9123,8658,465,16276
Nashik,20,TOWN,Urban,Trimbak (M),100000,1518,7883,4166,3717,1281,442,2418,4981,2724,2369,355,4804
Nashik,20,TOWN,Urban,Yevla (M),106000,5691,34550,17713,16837,5552,2947,1319,22956,10841,9884,957,22752
