district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Bid,27,DISTRICT,Total,Bid,,367181,1822072,937410,884662,377937,244281,20515,719512,758589,660772,97817,965666
Bid,27,DISTRICT,Urban,Bid,,64703,326968,171561,155407,65212,41044,2503,185554,88675,85417,3258,235035
Bid,27,DISTRICT,Rural,Bid,,302478,1495104,765849,729255,312725,203237,18012,533958,669914,575355,94559,730631
Bid,27,TOWN,Urban,Ambejogai (M),103000,11369,57159,30300,26859,10436,9702,445,34176,14932,14316,616,41611
Bid,27,TOWN,Urban,Ashti (Ct),105000,2163,9989,5156,4833,1906,1272,61,5865,3126,2919,207,6656
Bid,27,TOWN,Urban,Bid (M),300000,22165,112434,59537,52897,21838,12858,662,68185,28566,27440,1126,82742
Bid,27,TOWN,Urban,Dharur (M),104000,3167,16386,8453,7933,3515,2155,144,8203,5504,5441,63,10819
Bid,27,TOWN,Urban,Georai (M),100000,4786,23665,12263,11402,4958,2457,135,12376,7207,6891,316,16142
Bid,27,TOWN,Urban,Manjlegaon (M),101000,6795,34665,17812,16853,7430,3920,137,17911,9764,9140,624,24277
Bid,27,TOWN,Urban,Parli (M),102000,14258,72670,38040,34630,15129,8680,919,38838,19576,19270,306,52788
