district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Kolhapur,34,DISTRICT,Total,Kolhapur,,567952,2989507,1524732,1464775,457849,381029,14789,1694724,1169735,960279,209456,1610316
Kolhapur,34,DISTRICT,Urban,Kolhapur,,149412,787002,411144,375858,114872,86505,1957,533072,242974,227475,15499,528529
Kolhapur,34,DISTRICT,Rural,Kolhapur,,418540,2202505,1113588,1088917,342977,294524,12832,1161652,926761,732804,193957,1081787
Kolhapur,34,TOWN,Urban,Gadhinglaj (M),106000,4440,22386,11602,10784,2969,2381,43,15345,7418,6888,530,14438
Kolhapur,34,TOWN,Urban,Gandhinagar (Ct),300200,1905,12168,6305,5863,1933,944,16,8854,3721,3121,600,7847
Kolhapur,34,TOWN,Urban,Ichalkarnji (M),310100,40093,214950,113667,101283,35430,18390,861,133862,67584,66907,677,146689
Kolhapur,34,TOWN,Urban,Jaysingpur (M),102000,6497,33766,17235,16531,5164,2642,248,21206,10262,10116,146,23358
Kolhapur,34,TOWN,Urban,Kabnur (Ct),310200,4475,21029,11102,9927,3826,3874,21,12051,7409,6560,849,12771
Kolhapur,34,TOWN,Urban,Kagal (M),104000,3804,19525,9968,9557,2840,2895,4,12310,6689,5263,1426,11410
Kolhapur,34,TOWN,Urban,Kolhapur (M.Corp.),300100,77690,406370,212141,194229,54088,48492,674,291360,121947,113188,8759,275664
Kolhapur,34,TOWN,Urban,Kurundvad (M),103000,3808,20917,10665,10252,3137,1989,81,13581,6827,5742,1085,13005
Kolhapur,34,TOWN,Urban,Malkapur (M),107000,1006,5238,2703,2535,789,945,9,3730,1472,1395,77,3689
Kolhapur,34,TOWN,Urban,Murgad (M),105000,1692,8598,4421,4177,1180,978,0,6668,2859,2066,793,4946
Kolhapur,34,TOWN,Urban,Panhala (M),100000,579,2968,1551,1417,407,367,0,2291,755,693,62,2151
Kolhapur,34,TOWN,Urban,Vadgaon Kasba (M),101000,3423,19087,9784,9303,3109,2608,0,11814,6031,5536,495,12561
