district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Buldana,04,DISTRICT,Total,Buldana,,445634,2232480,1147403,1085077,340294,241623,115156,1433889,1016015,908797,107218,1216465
Buldana,04,DISTRICT,Urban,Buldana,,87223,473383,244958,228425,68083,45858,9221,338496,142689,128900,13789,330694
Buldana,04,DISTRICT,Rural,Buldana,,358411,1759097,902445,856652,272211,195765,105935,1095393,873326,779897,93429,885771
Buldana,04,TOWN,Urban,Jalgaon (Jamod) (M Cl),40401000,4638,26282,13605,12677,3977,1285,504,17690,8773,7983,790,17509
Buldana,04,TOWN,Urban,Shegaon (M Cl),40404000,9551,52423,27076,25347,7736,3910,1851,37726,17511,15445,2066,34912
Buldana,04,TOWN,Urban,Nandura (M Cl),40403000,6711,37469,19100,18369,5534,1987,597,25601,11481,10111,1370,25988
Buldana,04,TOWN,Urban,Malkapur (M Cl),40402000,10517,61012,31398,29614,9525,3674,398,41795,17683,16142,1541,43329
Buldana,04,TOWN,Urban,Khamgaon (M Cl),40405000,16084,88687,45933,42754,12180,6670,1312,67263,24893,22891,2002,63794
Buldana,04,TOWN,Urban,Mehkar (M Cl),40408000,7091,37715,19472,18243,5743,6252,551,25267,11593,10538,1055,26122
Buldana,04,TOWN,Urban,Chikhli (M Cl),40407000,9182,48428,25297,23131,6554,6013,570,35770,14231,12689,1542,34197
Buldana,04,TOWN,Urban,Buldana (M Cl),40406000,12533,62972,32727,30245,8135,10371,1680,48090,17529,16474,1055,45443
Buldana,04,TOWN,Urban,Deulgaon Raja (M Cl),40409000,4506,24372,12633,11739,3554,2047,237,17238,7381,6671,710,16991
Buldana,04,TOWN,Urban,Sindkhed Raja (M Cl),40410000,2768,13941,7329,6612,1963,1824,227,8821,5385,4667,718,8556
Buldana,04,TOWN,Urban,Lonar (M Cl),40411000,3642,20082,10388,9694,3182,1825,1294,13235,6229,5289,940,13853
