district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nagpur,09,DISTRICT,Total,Nagpur,,838599,4067637,2105314,1962323,525850,696461,444441,2976205,1538349,1283079,255270,2529288
Nagpur,09,DISTRICT,Urban,Nagpur,,524240,2613751,1353798,1259953,323663,455295,226689,2030222,811048,723073,87975,1802703
Nagpur,09,DISTRICT,Rural,Nagpur,,314359,1453886,751516,702370,202187,241166,217752,945983,727301,560006,167295,726585
Nagpur,09,TOWN,Urban,Mowad (M Cl),40901000,1823,8737,4489,4248,1081,523,1276,6404,3842,3171,671,4895
Nagpur,09,TOWN,Urban,Narkhed (M Cl),40902000,4200,21537,11060,10477,2652,3439,1504,15460,8196,6608,1588,13341
Nagpur,09,TOWN,Urban,Katol (M Cl),40922000,7705,37435,19304,18131,4442,5565,3440,28793,12795,11515,1280,24640
Nagpur,09,TOWN,Urban,Kalameshwar(M Cl),40920000,3710,17331,9052,8279,2257,1572,2218,13171,6221,5516,705,11110
Nagpur,09,TOWN,Urban,Mohpa (M Cl),40921000,1541,7068,3583,3485,780,801,130,5194,3191,2293,898,3877
Nagpur,09,TOWN,Urban,Savner (M Cl),40903000,5627,26712,13766,12946,3932,3305,1442,19346,8775,7392,1383,17937
Nagpur,09,TOWN,Urban,Khapa (M Cl),40904000,2974,14972,7599,7373,1868,1720,4460,10801,5290,3738,1552,9682
Nagpur,09,TOWN,Urban,Walani (Ct),40905000,1963,10716,5644,5072,1402,2579,575,8011,2638,2343,295,8078
Nagpur,09,TOWN,Urban,Sillewada (Ct),40906000,1573,8503,4530,3973,1054,2063,495,6315,2180,1979,201,6323
Nagpur,09,TOWN,Urban,Chicholi (Ct),40907000,3927,18478,9613,8865,2316,5903,1414,14498,5256,4831,425,13222
Nagpur,09,TOWN,Urban,Tekadi (Ct),40908000,3166,17180,9144,8036,2018,2008,971,12641,4320,3768,552,12860
Nagpur,09,TOWN,Urban,Kanhan (Pipri) (Ct),40909000,4347,21842,11167,10675,2675,6946,1223,15936,6157,4539,1618,15685
Nagpur,09,TOWN,Urban,Kandri (Ct),40910000,1596,8124,4244,3880,1016,1829,490,5853,2460,1799,661,5664
Nagpur,09,TOWN,Urban,Totaladoh (Ct),40911000,530,2336,1188,1148,286,427,464,1509,721,614,107,1615
Nagpur,09,TOWN,Urban,Ramtek (M Cl),40912000,4601,22516,11554,10962,2827,3132,1684,16769,7521,6451,1070,14995
Nagpur,09,TOWN,Urban,Kandri (Ct),40913000,1165,5295,2683,2612,696,827,2272,3565,1670,1431,239,3625
Nagpur,09,TOWN,Urban,Mansar (Ct),40914000,1385,6459,3240,3219,860,1240,1475,4363,2458,2159,299,4001
Nagpur,09,TOWN,Urban,Kamptee (M Cl),40915000,14022,84344,42626,41718,11025,22804,2102,63832,25799,20934,4865,58545
Nagpur,09,TOWN,Urban,Kamptee (Cb),40916000,2338,13125,8333,4792,1417,1752,456,10673,6332,5203,1129,6793
Nagpur,09,TOWN,Urban,Yerkheda (Ct),40917000,2055,10376,5344,5032,1301,2785,493,8093,3081,2369,712,7295
Nagpur,09,TOWN,Urban,Mahadula (Ct),40918000,3973,18252,9432,8820,2231,5038,558,13829,5580,4990,590,12672
Nagpur,09,TOWN,Urban,Wadi (Ct),40926000,9394,40418,21607,18811,5884,11435,1879,31424,12555,11578,977,27863
Nagpur,09,TOWN,Urban,Davlameti (Ct),40927000,1826,8769,4572,4197,1157,4156,198,6700,2486,2085,401,6283
Nagpur,09,TOWN,Urban,Sonegaon (Nipani) (Ct),40928000,2662,12005,6345,5660,1176,2525,922,9699,3642,3347,295,8363
Nagpur,09,TOWN,Urban,Nagpur (M Corp.),40919000,409945,2052066,1059765,992301,249827,343031,181975,1609126,627481,568283,59198,1424585
Nagpur,09,TOWN,Urban,Wanadongri (Ct),40923000,3838,17181,9218,7963,3032,2078,918,11763,5458,4088,1370,11723
Nagpur,09,TOWN,Urban,Nildoh (Ct),40924000,3943,15381,8605,6776,2758,3246,891,10975,5811,5491,320,9570
Nagpur,09,TOWN,Urban,Digdoh (Ct),40925000,8365,37016,20637,16379,5593,5565,2258,28704,11346,10403,943,25670
Nagpur,09,TOWN,Urban,Umred (M Cl),40929000,10046,49577,25454,24123,6100,7001,8506,36775,17786,14155,3631,31791
