district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Yavatmal,14,DISTRICT,Total,Yavatmal,,518214,2458271,1265681,1192590,369402,252802,473370,1537777,1118937,949453,169484,1339334
Yavatmal,14,DISTRICT,Urban,Yavatmal,,91226,457211,236141,221070,60077,51914,31971,343075,140654,130741,9913,316557
Yavatmal,14,DISTRICT,Rural,Yavatmal,,426988,2001060,1029540,971520,309325,200888,441399,1194702,978283,818712,159571,1022777
Yavatmal,14,TOWN,Urban,Waghapur (Ct),41402000,1842,8307,4443,3864,923,1663,1134,6598,2526,2397,129,5781
Yavatmal,14,TOWN,Urban,Yavatmal (M Cl),41403000,25079,120676,61780,58896,14931,16420,7645,94081,38358,36492,1866,82318
Yavatmal,14,TOWN,Urban,Wadgaon Road (Ct),41404000,6873,30756,16064,14692,3476,2318,2576,24664,9092,8555,537,21664
Yavatmal,14,TOWN,Urban,Umarsara (Ct),41405000,4327,19159,10128,9031,2192,3194,2056,15542,5683,5136,547,13476
Yavatmal,14,TOWN,Urban,Darwha (M Cl),41401000,4139,23366,12110,11256,3092,1592,663,18407,6833,6379,454,16533
Yavatmal,14,TOWN,Urban,Digras (M Cl),41407000,7047,39178,20261,18917,5471,3361,2591,27998,11664,11020,644,27514
Yavatmal,14,TOWN,Urban,Pusad (M Cl),41408000,12547,67166,34589,32577,9828,7544,2888,49189,18752,17854,898,48414
Yavatmal,14,TOWN,Urban,Vasantnagar (Ct),41409000,917,4116,2226,1890,659,434,403,2291,1886,1835,51,2230
Yavatmal,14,TOWN,Urban,Umarkhed (M Cl),41410000,5861,34059,17600,16459,5141,2946,1162,23578,10123,9209,914,23936
Yavatmal,14,TOWN,Urban,Ghatanji (M Cl),41406000,4023,19347,10150,9197,2444,2330,2222,14296,7026,6525,501,12321
Yavatmal,14,TOWN,Urban,Pandharkaoda (M Cl),41411000,5405,26572,13613,12959,3462,2288,3393,19532,8793,7921,872,17779
Yavatmal,14,TOWN,Urban,Rajur (Ct),41412000,2273,11675,6019,5656,1519,2513,1187,8068,3218,3026,192,8457
Yavatmal,14,TOWN,Urban,Wani (M Cl),41413000,10893,52834,27158,25676,6939,5311,4051,38831,16700,14392,2308,36134
