district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nanded,15,DISTRICT,Total,Nanded,,527875,2876259,1481358,1394901,477303,498196,253596,1625685,1202037,965087,236950,1674222
Nanded,15,DISTRICT,Urban,Nanded,,117228,689064,357890,331174,107961,92150,30750,452082,191542,169712,21830,497522
Nanded,15,DISTRICT,Rural,Nanded,,410647,2187195,1123468,1063727,369342,406046,222846,1173603,1010495,795375,215120,1176700
Nanded,15,TOWN,Urban,Kinwat (M Cl),41502000,4654,24878,12715,12163,3630,4250,1690,15972,7506,6991,515,17372
Nanded,15,TOWN,Urban,Hadgaon (M Cl),41501000,4174,23339,12128,11211,3886,2623,526,14683,7622,6500,1122,15717
Nanded,15,TOWN,Urban,Wajegaon (Ct),41505000,1180,7664,3934,3730,1638,1643,139,3789,2434,1768,666,5230
Nanded,15,TOWN,Urban,Nanded-Waghala (M Corp.),41506000,72733,430733,224843,205890,66690,53190,8692,296668,111285,102397,8888,319448
Nanded,15,TOWN,Urban,Mudkhed (M Cl),41504000,2894,18700,9856,8844,3224,2153,490,10530,6077,5554,523,12623
Nanded,15,TOWN,Urban,Peth Umri (M Cl),41503000,1968,11151,5759,5392,1732,2518,768,7198,3379,2923,456,7772
Nanded,15,TOWN,Urban,Dharmabad (M Cl),41509000,5421,29951,15212,14739,4443,4742,4528,17110,10699,9914,785,19252
Nanded,15,TOWN,Urban,Kundalwadi (M Cl),41510000,2524,14334,7193,7141,2202,1296,3815,6566,5833,3703,2130,8501
Nanded,15,TOWN,Urban,Biloli (M Cl),41511000,2355,13433,6926,6507,2189,2234,3279,7506,4543,3651,892,8890
Nanded,15,TOWN,Urban,Loha (M Cl),41507000,3358,20148,10378,9770,3293,2932,319,12632,5819,4858,961,14329
Nanded,15,TOWN,Urban,Kandhar (M Cl),41508000,3263,20772,11010,9762,3255,3942,29,13255,4991,4455,536,15781
Nanded,15,TOWN,Urban,Mukhed (M Cl),41512000,4451,25933,13338,12595,4366,4078,2370,15912,7534,5948,1586,18399
Nanded,15,TOWN,Urban,Deglur (M Cl),41513000,8253,48028,24598,23430,7413,6549,4105,30261,13820,11050,2770,34208
