district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Thane,21,DISTRICT,Total,Thane,,1755124,8131849,4377747,3754102,1144896,339720,1199290,5635799,3179981,2782004,397977,4951868
Thane,21,DISTRICT,Urban,Thane,,1309208,5902473,3229624,2672849,772875,294613,151580,4438792,2109098,1986568,122530,3793375
Thane,21,DISTRICT,Rural,Thane,,445916,2229376,1148123,1081253,372021,45107,1047710,1197007,1070883,795436,275447,1158493
Thane,21,TOWN,Urban,Dahanu (M Cl),42101000,9356,44401,22907,21494,5953,1861,8228,31216,16674,15267,1407,27727
Thane,21,TOWN,Urban,Chinchani (Ct),42102000,2827,13437,6822,6615,1595,106,2580,10511,5308,4633,675,8129
Thane,21,TOWN,Urban,Jawhar (M Cl),42103000,2423,11298,5977,5321,1686,632,3585,8028,3751,3138,613,7547
Thane,21,TOWN,Urban,Vada (Ct),42107000,3106,14286,7479,6807,1855,566,4039,10163,5390,4416,974,8896
Thane,21,TOWN,Urban,Manor (Ct),42108000,1685,8343,4330,4013,1184,286,2523,5592,3004,1991,1013,5339
Thane,21,TOWN,Urban,Boisar (Ct),42109000,3506,14685,8329,6356,2179,799,128,11261,5199,4976,223,9486
Thane,21,TOWN,Urban,Katkar (Ct),42110000,1391,6108,3421,2687,926,354,984,4224,2440,2146,294,3668
Thane,21,TOWN,Urban,Pasthal (Ct),42111000,4080,16185,8634,7551,2037,1290,783,13252,5728,5337,391,10457
Thane,21,TOWN,Urban,Tarapur (Ct),42112000,1406,7014,3538,3476,817,665,850,5440,2592,2257,335,4422
Thane,21,TOWN,Urban,Palghar (M Cl),42113000,11779,52677,28645,24032,6933,1897,7933,37985,20233,18278,1955,32444
Thane,21,TOWN,Urban,Umbar Pada Nandade (Ct),42114000,1307,5689,3013,2676,738,157,987,4166,2215,2072,143,3474
Thane,21,TOWN,Urban,Kopharad (Ct),42115000,1197,5276,2702,2574,524,79,251,4303,2431,2240,191,2845
Thane,21,TOWN,Urban,Virar (M Cl),42116000,27854,118928,63704,55224,15401,2024,2754,91573,43726,40329,3397,75202
Thane,21,TOWN,Urban,Nalasopara (M Cl),42117000,43748,184538,98870,85668,25818,5267,1548,144386,63871,60142,3729,120667
Thane,21,TOWN,Urban,Waliv (Ct),42118000,3558,15388,8937,6451,2554,690,1578,10614,6419,5873,546,8969
Thane,21,TOWN,Urban,Gokhivare (Ct),42119000,4738,20075,11439,8636,3543,527,1910,12644,7628,7099,529,12447
Thane,21,TOWN,Urban,Sandor (Ct),42120000,2045,8336,4262,4074,852,131,1412,6356,3462,2707,755,4874
Thane,21,TOWN,Urban,Navghar-Manikpur (M Cl),42121000,28221,116723,61757,54966,12621,2405,1945,96683,42575,41364,1211,74148
Thane,21,TOWN,Urban,Vasai (M Cl),42122000,10226,49337,25011,24326,5748,546,1816,37368,16752,15469,1283,32585
Thane,21,TOWN,Urban,Mira-Bhayandar (M Cl),42130000,117276,520388,286391,233997,68919,5935,6629,402490,193158,185934,7224,327230
Thane,21,TOWN,Urban,Thane (M Corp.),42131000,283567,1262551,675147,587404,161698,57584,31134,973195,419827,393643,26184,842724
Thane,21,TOWN,Urban,Navi Mumbai (M Corp.),42132000,163738,704002,395705,308297,98745,44154,10976,516067,270692,253325,17367,433310
Thane,21,TOWN,Urban,Katai (Ct),42123000,2385,11252,8347,2905,1296,507,947,7386,7214,6922,292,4038
Thane,21,TOWN,Urban,Karivali (Ct),42124000,2465,12932,9990,2942,1282,209,141,9208,8700,8630,70,4232
Thane,21,TOWN,Urban,Khoni (Ct),42125000,3750,22686,14619,8067,3177,275,706,14999,10424,10242,182,12262
Thane,21,TOWN,Urban,Shelar (Ct),42126000,2354,10612,6612,4000,1758,748,610,6721,4921,4377,544,5691
Thane,21,TOWN,Urban,Bhiwandi (M Cl),42127000,110408,598741,367565,231176,86607,8563,3931,388336,250227,243066,7161,348514
Thane,21,TOWN,Urban,Padagha (Ct),42128000,1056,5047,2633,2414,620,347,222,3955,1546,1433,113,3501
Thane,21,TOWN,Urban,Kon (Ct),42129000,3261,15159,7998,7161,2335,428,427,11366,4824,4152,672,10335
Thane,21,TOWN,Urban,Kasara Budruk (Ct),42104000,2927,15192,7817,7375,2353,2394,5450,9486,3949,3204,745,11243
Thane,21,TOWN,Urban,Shahapur (Ct),42105000,2267,10490,5371,5119,1274,397,1283,8086,3620,3337,283,6870
Thane,21,TOWN,Urban,Vashind (Ct),42106000,3502,15881,8480,7401,2463,1343,1483,11667,4941,4447,494,10940
Thane,21,TOWN,Urban,Kalyan-Dombivli (M Corp.),42133000,275932,1193512,633508,560004,144097,68976,24753,944745,403577,381539,22038,789935
Thane,21,TOWN,Urban,Ulhasnagar (M Corp.),42134000,99152,473731,251888,221843,60743,53397,3533,352871,155791,145770,10021,317940
Thane,21,TOWN,Urban,Ambarnath(M Cl),42135000,44348,203804,107325,96479,27587,22081,7849,147121,66533,59544,6989,137271
Thane,21,TOWN,Urban,Badlapur (M Cl),42136000,22756,97948,51859,46089,12465,5507,4841,73936,34014,32129,1885,63934
Thane,21,TOWN,Urban,Murbad (Ct),42137000,3611,15821,8592,7229,2492,1486,831,11392,5742,5140,602,10079
