district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Raigarh,24,DISTRICT,Total,Raigarh,,478933,2207929,1117628,1090301,314767,53667,269124,1458324,913995,664689,249306,1293934
Raigarh,24,DISTRICT,Urban,Raigarh,,118535,534835,283663,251172,71683,21249,24855,403204,182661,162709,19952,352174
Raigarh,24,DISTRICT,Rural,Raigarh,,360398,1673094,833965,839129,243084,32418,244269,1055120,731334,501980,229354,941760
Raigarh,24,TOWN,Urban,Kegaon (Ct),42401000,1817,7923,4336,3587,985,547,174,6427,2668,2358,310,5255
Raigarh,24,TOWN,Urban,Uran (M Cl),42402000,5189,23251,12250,11001,2723,980,256,18225,7881,6782,1099,15370
Raigarh,24,TOWN,Urban,Panvel (M Cl),42403000,23894,104058,54963,49095,13718,4924,2753,80493,36341,34121,2220,67717
Raigarh,24,TOWN,Urban,Kalundre (Ct),42404000,1784,7584,3928,3656,1073,318,184,5949,2343,2076,267,5241
Raigarh,24,TOWN,Urban,"Navi Mumbai (Panvel, Raigarh) (Ct)",42405000,18456,81855,46219,35636,12695,2766,2685,57635,29186,26148,3038,52669
Raigarh,24,TOWN,Urban,Taloje Panchnad (Ct),42406000,1736,10839,5905,4934,1992,95,76,7283,3595,3149,446,7244
Raigarh,24,TOWN,Urban,Neral (Ct),42407000,3065,14739,7551,7188,2006,473,2232,10264,4547,3948,599,10192
Raigarh,24,TOWN,Urban,Matheran (M Cl),42408000,1008,5139,2979,2160,588,485,308,3614,2345,2043,302,2794
Raigarh,24,TOWN,Urban,Karjat (M Cl),42409000,5594,25531,13206,12325,3106,1104,877,19134,8333,7212,1121,17198
Raigarh,24,TOWN,Urban,Ambivali Tarf Wankhal (Ct),42410000,1632,6798,3768,3030,1008,439,301,4926,2329,2104,225,4469
Raigarh,24,TOWN,Urban,Mohpada Alias Wasambe (Ct),42411000,2139,8735,4735,4000,1389,103,453,6579,2889,2779,110,5846
Raigarh,24,TOWN,Urban,Khopoli (M Cl),42412000,12641,58664,31294,27370,7740,2483,2617,43269,18651,16153,2498,40013
Raigarh,24,TOWN,Urban,Pen (M Cl),42413000,6863,30201,15844,14357,3566,1129,1484,23988,10136,9316,820,20065
Raigarh,24,TOWN,Urban,Alibag (M Cl),42414000,4345,19496,10137,9359,2157,880,2677,15223,7312,6635,677,12184
Raigarh,24,TOWN,Urban,Murud (M Cl),42415000,2600,12552,6063,6489,1432,184,1560,9891,4142,3471,671,8410
Raigarh,24,TOWN,Urban,Nagothana (Ct),42416000,2216,10239,5381,4858,1465,186,1842,7899,3445,3100,345,6794
Raigarh,24,TOWN,Urban,Roha Ashtami (M Cl),42417000,4100,19071,9871,9200,2366,343,170,15334,6210,5837,373,12861
Raigarh,24,TOWN,Urban,Dhatau (Ct),42418000,1247,5035,2817,2218,692,217,236,3570,2200,1932,268,2835
Raigarh,24,TOWN,Urban,Pali (Ct),42419000,1848,8172,4175,3997,1024,303,186,6317,2960,2351,609,5212
Raigarh,24,TOWN,Urban,Utekhol (Ct),42420000,1681,7291,3792,3499,1031,451,658,5449,2471,2180,291,4820
Raigarh,24,TOWN,Urban,Goregaon (Ct),42421000,1405,6868,3409,3459,839,538,68,5366,2114,1689,425,4754
Raigarh,24,TOWN,Urban,Shrivardhan (M Cl),42423000,3205,15186,7400,7786,1817,458,2302,11142,4887,3658,1229,10299
Raigarh,24,TOWN,Urban,Mhasla (Ct),42422000,1813,8763,4265,4498,1336,168,326,6346,2648,1966,682,6115
Raigarh,24,TOWN,Urban,Mahad (M Cl),42424000,5287,24276,12764,11512,3041,1234,267,19590,8424,7768,656,15852
Raigarh,24,TOWN,Urban,Birwadi (Ct),42425000,1748,7272,3954,3318,1160,135,82,5381,2605,2217,388,4667
Raigarh,24,TOWN,Urban,Poladpur (Ct),42426000,1222,5297,2657,2640,734,306,81,3910,1999,1716,283,3298
