district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Osmanabad,29,DISTRICT,Total,Osmanabad,,295750,1486586,769368,717218,223183,245790,27857,872022,653522,555202,98320,833064
Osmanabad,29,DISTRICT,Urban,Osmanabad,,42359,233256,121092,112164,34447,33124,4417,158260,66765,58885,7880,166491
Osmanabad,29,DISTRICT,Rural,Osmanabad,,253391,1253330,648276,605054,188736,212666,23440,713762,586757,496317,90440,666573
Osmanabad,29,TOWN,Urban,Paranda (M Cl),42901000,3012,16990,8767,8223,2722,2092,141,10662,5523,5039,484,11467
Osmanabad,29,TOWN,Urban,Bhum (M Cl),42902000,3336,17509,9096,8413,2315,2569,476,11737,5162,4251,911,12347
Osmanabad,29,TOWN,Urban,Kalamb (M Cl),42903000,4273,23022,12057,10965,3346,3083,631,15599,6863,6154,709,16159
Osmanabad,29,TOWN,Urban,Osmanabad (M Cl),42904000,14587,80625,41982,38643,11612,10918,1686,58320,21863,19648,2215,58762
Osmanabad,29,TOWN,Urban,Tuljapur (M Cl),42905000,5612,31706,16462,15244,4644,4563,355,21407,8793,8085,708,22913
Osmanabad,29,TOWN,Urban,Naldurg (M Cl),42906000,2757,15989,8326,7663,2621,2217,146,10146,4203,3459,744,11786
Osmanabad,29,TOWN,Urban,Murum (M Cl),42907000,3156,17237,8744,8493,2695,2987,73,10637,5533,5023,510,11704
Osmanabad,29,TOWN,Urban,Umarga (M Cl),42908000,5626,30178,15658,14520,4492,4695,909,19752,8825,7226,1599,21353
