district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Satara,31,DISTRICT,Total,Satara,,570606,2808994,1408326,1400668,368531,246110,21896,1908947,1303658,1044989,258669,1505336
Satara,31,DISTRICT,Urban,Satara,,80847,398121,206509,191612,46978,44093,3223,303526,128587,116471,12116,269534
Satara,31,DISTRICT,Rural,Satara,,489759,2410873,1201817,1209056,321553,202017,18673,1605421,1175071,928518,246553,1235802
Satara,31,TOWN,Urban,Mahabaleshwar (M Cl),43101000,2125,12737,7043,5694,1472,1020,326,9864,4800,4189,611,7937
Satara,31,TOWN,Urban,Panchgani (M Cl),43102000,2119,13280,7534,5746,1279,796,49,10776,3604,3284,320,9676
Satara,31,TOWN,Urban,Wai (M Cl),43103000,6538,31110,15894,15216,3526,2873,297,24034,10908,9988,920,20202
Satara,31,TOWN,Urban,Shirwal (Ct),43104000,2535,11836,6181,5655,1706,601,186,8499,4267,3339,928,7569
Satara,31,TOWN,Urban,Phaltan (M Cl),43105000,10104,50800,25935,24865,6118,8036,395,37780,15744,14881,863,35056
Satara,31,TOWN,Urban,Mhaswad (M Cl),43106000,3845,20500,10331,10169,3123,2614,74,12338,8398,7271,1127,12102
Satara,31,TOWN,Urban,Rahimatpur (M Cl),43107000,3279,16554,8426,8128,2155,1573,94,11865,6005,5097,908,10549
Satara,31,TOWN,Urban,Khed (Ct),43108000,1334,6886,3552,3334,961,2389,145,4454,2006,1939,67,4880
Satara,31,TOWN,Urban,Karanje Turf Satara (Ct),43109000,4638,21504,11322,10182,2678,2325,256,16541,6800,5885,915,14704
Satara,31,TOWN,Urban,Satara (M Cl),43110000,22689,108048,55938,52110,11457,12275,593,86089,32604,30986,1618,75444
Satara,31,TOWN,Urban,Kodoli (Ct),43111000,3652,16416,8629,7787,2134,1182,77,13069,5238,4185,1053,11178
Satara,31,TOWN,Urban,Godoli (Ct),43112000,3799,16749,8784,7965,1864,980,285,13763,5155,4838,317,11594
Satara,31,TOWN,Urban,Patan (Ct),43113000,2347,11598,5977,5621,1462,1341,167,8989,3314,2934,380,8284
Satara,31,TOWN,Urban,Vanvadi (Sadashivgad) (Ct),43114000,857,3942,2045,1897,477,629,41,3056,1342,1001,341,2600
Satara,31,TOWN,Urban,Karad (M Cl),43115000,10986,56161,28918,27243,6566,5459,238,42409,18402,16654,1748,37759
