district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nandurbar,01,DISTRICT,Total,Nandurbar,,323521,1648295,833170,815125,240222,47985,1141933,906509,792065,664193,127872,856230
Nandurbar,01,DISTRICT,Urban,Nandurbar,,50738,275474,145499,129975,32706,17435,47631,210249,90501,79207,11294,184973
Nandurbar,01,DISTRICT,Rural,Nandurbar,,272783,1372821,687671,685150,207516,30550,1094302,696260,701564,584986,116578,671257
Nandurbar,01,TOWN,Urban,Khapar (Ct),525192,1459,7235,3697,3538,825,372,2429,5343,2767,2551,216,4468
Nandurbar,01,TOWN,Urban,Akkalkuwa (Ct),525193,1929,17840,13273,4567,1289,392,879,15722,2726,2620,106,15114
Nandurbar,01,TOWN,Urban,Makranifali (Ct),525194,979,4812,2412,2400,824,83,468,3315,1260,1137,123,3552
Nandurbar,01,TOWN,Urban,Vadfalya (Ct),525357,1109,6093,3212,2881,803,886,2876,4205,1977,1195,782,4116
Nandurbar,01,TOWN,Urban,Talode (M Cl),802640,5028,26363,13303,13060,3115,1128,8256,18554,10290,8518,1772,16073
Nandurbar,01,TOWN,Urban,Shahade (M Cl),802641,11633,61376,31414,29962,7948,3986,7772,46277,21385,18847,2538,39991
Nandurbar,01,TOWN,Urban,Nandurbar (M Cl),802642,20904,111037,57412,53625,13151,8281,13657,86231,35223,31224,3999,75814
Nandurbar,01,TOWN,Urban,Nawapur (M Cl),802643,6415,34207,17487,16720,3963,1802,8830,26035,12586,10984,1602,21621
Nandurbar,01,TOWN,Urban,Khandbara (Ct),525949,1282,6511,3289,3222,788,505,2464,4567,2287,2131,156,4224
