district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Jalgaon,03,DISTRICT,Total,Jalgaon,,903643,4229917,2197365,2032552,532005,389273,604367,2891882,1863571,1643955,219616,2366346
Jalgaon,03,DISTRICT,Urban,Jalgaon,,279073,1342711,696851,645860,156329,121555,67296,1014320,435880,384145,51735,906831
Jalgaon,03,DISTRICT,Rural,Jalgaon,,624570,2887206,1500514,1386692,375676,267718,537071,1877562,1427691,1259810,167881,1459515
Jalgaon,03,TOWN,Urban,Chopda (M Cl),802647,13815,72783,37601,35182,8951,5439,5848,53364,23734,19516,4218,49049
Jalgaon,03,TOWN,Urban,Yawal (M Cl),802648,7363,36706,18965,17741,4755,2775,2460,25297,12593,10702,1891,24113
Jalgaon,03,TOWN,Urban,Faizpur (M Cl),802649,5546,26602,13673,12929,3417,1703,2105,19929,8225,7107,1118,18377
Jalgaon,03,TOWN,Urban,Savda (M Cl),802650,4337,20584,10637,9947,2604,1973,1009,14949,6727,6426,301,13857
Jalgaon,03,TOWN,Urban,Raver (M Cl),802651,4926,27039,13843,13196,3666,2048,314,18747,8465,7764,701,18574
Jalgaon,03,TOWN,Urban,Bhusawal (M Cl),802652,38668,187421,96147,91274,19800,28542,6125,148137,54115,47281,6834,133306
Jalgaon,03,TOWN,Urban,Nimbhore Budruk (Ct),527148,1713,7501,4006,3495,734,669,943,5920,2352,2256,96,5149
Jalgaon,03,TOWN,Urban,Kandari (Ct),527149,3545,16353,8570,7783,1845,3872,1424,12968,5498,4622,876,10855
Jalgaon,03,TOWN,Urban,Varangaon (Ct),527150,7783,35411,18385,17026,4178,5625,1040,26987,11541,9491,2050,23870
Jalgaon,03,TOWN,Urban,Jalgaon (M Corp.),802653,99361,460228,240590,219638,53086,33244,24316,355368,148035,136836,11199,312193
Jalgaon,03,TOWN,Urban,Erandol (M Cl),802654,6235,31071,16000,15071,3916,1745,1763,20819,11705,10426,1279,19366
Jalgaon,03,TOWN,Urban,Dharangaon (M Cl),802655,6753,35375,18211,17164,4412,1976,1745,24893,13050,11569,1481,22325
Jalgaon,03,TOWN,Urban,Amalner (M Cl),802656,19742,95994,49564,46430,10178,7245,6136,73114,32819,26940,5879,63175
Jalgaon,03,TOWN,Urban,Parola (M Cl),802657,7325,37666,19552,18114,4419,2192,811,28173,12946,11226,1720,24720
Jalgaon,03,TOWN,Urban,Bhadgaon (M Cl),802658,7736,37214,19334,17880,4668,1940,3249,26132,14276,11475,2801,22938
Jalgaon,03,TOWN,Urban,Chalisgaon(M Cl),802659,19940,97551,50737,46814,11087,10171,3468,74252,31337,27123,4214,66214
Jalgaon,03,TOWN,Urban,Takali Pr. Chalisgaon (Ct),527863,2296,10630,5688,4942,1213,714,676,8417,3619,3355,264,7011
Jalgaon,03,TOWN,Urban,Pachora (M Cl),802660,12325,59609,30958,28651,7269,5919,2022,42995,19836,16393,3443,39773
Jalgaon,03,TOWN,Urban,Pachora (Rural) (Ct),527991,50,211,120,91,40,2,125,81,123,49,74,88
Jalgaon,03,TOWN,Urban,Jamner (M Cl),802661,9614,46762,24270,22492,6091,3761,1717,33778,14884,13588,1296,31878
