district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Wardha,08,DISTRICT,Total,Wardha,,309846,1300774,668385,632389,128901,188830,149507,1019458,608235,529623,78612,692539
Wardha,08,DISTRICT,Urban,Wardha,,97353,423300,216511,206789,40677,73941,24417,354376,147457,129819,17638,275843
Wardha,08,DISTRICT,Rural,Wardha,,212493,877474,451874,425600,88224,114889,125090,665082,460778,399804,60974,416696
Wardha,08,TOWN,Urban,Arvi (M Cl),802694,9550,42822,21958,20864,4132,5836,2123,35039,15827,13893,1934,26995
Wardha,08,TOWN,Urban,Sindi (M Cl),802695,2938,12858,6598,6260,1312,1546,970,10208,5350,4542,808,7508
Wardha,08,TOWN,Urban,Wardha (M Cl),802696,24186,106444,53697,52747,10068,16386,5830,90371,35304,31804,3500,71140
Wardha,08,TOWN,Urban,Pipri (Ct),534191,5666,23661,12205,11456,2191,2176,1768,20137,7976,7193,783,15685
Wardha,08,TOWN,Urban,Sindi Turf Hindnagar (Ct),534192,4974,20956,10823,10133,1737,6168,985,18077,7277,6312,965,13679
Wardha,08,TOWN,Urban,Warud (Ct),534193,1512,6386,3250,3136,586,1439,308,5450,2490,2218,272,3896
Wardha,08,TOWN,Urban,Masala (Ct),534194,2136,8883,4535,4348,832,2247,625,7522,3137,2745,392,5746
Wardha,08,TOWN,Urban,Nalwadi (Ct),534195,3020,12119,6109,6010,1074,2413,1241,10396,4320,4133,187,7799
Wardha,08,TOWN,Urban,Borgaon (Meghe) (Ct),534196,4738,19759,10236,9523,2266,3122,985,16187,7271,6033,1238,12488
Wardha,08,TOWN,Urban,Sawangi (Meghe) (Ct),534197,3042,14394,6954,7440,1282,5721,620,12133,4674,4302,372,9720
Wardha,08,TOWN,Urban,Pulgaon (M Cl),802697,7655,33925,17573,16352,3175,9622,1608,28051,11482,10337,1145,22443
Wardha,08,TOWN,Urban,Deoli (M Cl),802698,4527,19288,9996,9292,2003,2663,1324,15217,8265,7394,871,11023
Wardha,08,TOWN,Urban,Hinganghat (M Cl),802699,23409,101805,52577,49228,10019,14602,6030,85588,34084,28913,5171,67721
