district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Bhandara,10,DISTRICT,Total,Bhandara,,278076,1200334,605520,594814,126025,200372,88886,899860,597305,413838,183467,603029
Bhandara,10,DISTRICT,Urban,Bhandara,,53143,233831,118036,115795,22764,45209,9943,191532,81218,65380,15838,152613
Bhandara,10,DISTRICT,Rural,Bhandara,,224933,966503,487484,479019,103261,155163,78943,708328,516087,348458,167629,450416
Bhandara,10,TOWN,Urban,Tumsar (M Cl),802712,10057,44869,22568,22301,4226,7064,1023,37183,15054,12741,2313,29815
Bhandara,10,TOWN,Urban,Chikhala (Ct),536793,1004,4352,2147,2205,436,757,776,3120,1707,1232,475,2645
Bhandara,10,TOWN,Urban,Warthi (Ct),536901,3065,13058,6629,6429,1443,3665,265,10541,4424,3486,938,8634
Bhandara,10,TOWN,Urban,Bhandara (M Cl),802713,20429,91845,46409,45436,8783,15072,4707,76378,30067,26278,3789,61778
Bhandara,10,TOWN,Urban,Thana (Ct),537068,1481,6339,3256,3083,692,2079,164,5206,2094,1544,550,4245
Bhandara,10,TOWN,Urban,Shahapur (Ct),537069,1039,4459,2237,2222,432,1484,38,3606,1650,1170,480,2809
Bhandara,10,TOWN,Urban,Bela (Ct),537070,1344,5914,2892,3022,652,1332,93,4489,2491,1978,513,3423
Bhandara,10,TOWN,Urban,Ganeshpur (Ct),537071,2142,9192,4688,4504,950,1642,268,7633,3099,2730,369,6093
Bhandara,10,TOWN,Urban,Sawari Jawharnagar (Ct),537072,2138,8770,4442,4328,847,3276,461,7186,2985,2302,683,5785
Bhandara,10,TOWN,Urban,Sakoli (Ct),537168,3397,14636,7392,7244,1340,3901,908,12088,5864,3919,1945,8772
Bhandara,10,TOWN,Urban,Murmadi (Ct),537272,1834,7576,3862,3714,678,1263,333,6427,2555,1910,645,5021
Bhandara,10,TOWN,Urban,Pauni (M Cl),802714,5213,22821,11514,11307,2285,3674,907,17675,9228,6090,3138,13593
