district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Gondiya,11,DISTRICT,Total,Gondiya,,292369,1322507,661554,660953,140365,175961,214253,1004243,665419,433962,231457,657088
Gondiya,11,DISTRICT,Urban,Gondiya,,48529,225930,113620,112310,22788,40568,12340,185822,81150,66246,14904,144780
Gondiya,11,DISTRICT,Rural,Gondiya,,243840,1096577,547934,548643,117577,135393,201913,818421,584269,367716,216553,512308
Gondiya,11,TOWN,Urban,Tirora (M Cl),802715,5421,25181,12739,12442,2624,4869,1306,20280,8683,6338,2345,16498
Gondiya,11,TOWN,Urban,Gondiya (M Cl),802716,28337,132813,66500,66313,13123,26004,4346,111673,46500,40684,5816,86313
Gondiya,11,TOWN,Urban,Kudwa (Ct),537887,2471,11549,6076,5473,1171,2187,956,9329,4181,3058,1123,7368
Gondiya,11,TOWN,Urban,Katangi Kala (Ct),537888,1401,6440,3232,3208,714,909,520,4997,2834,2285,549,3606
Gondiya,11,TOWN,Urban,Fulchur (Ct),537889,1167,5480,2756,2724,617,394,268,4291,2031,1698,333,3449
Gondiya,11,TOWN,Urban,Khamari (Ct),537890,1515,6794,3387,3407,705,564,411,5036,3117,2098,1019,3677
Gondiya,11,TOWN,Urban,Amgaon Bk. (Ct),537972,2316,10972,5448,5524,1105,1120,569,8593,4445,3260,1185,6527
Gondiya,11,TOWN,Urban,Risama (Ct),537973,1489,6925,3485,3440,703,1138,310,5658,2284,1901,383,4641
Gondiya,11,TOWN,Urban,Amgaon Kh. (Ct),538065,1144,5197,2603,2594,574,818,720,4214,1982,1574,408,3215
Gondiya,11,TOWN,Urban,Deori (Ct),538467,3268,14579,7394,7185,1452,2565,2934,11751,5093,3350,1743,9486
