district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Chandrapur,13,DISTRICT,Total,Chandrapur,,536686,2204307,1123834,1080473,231316,348365,389441,1578615,1058172,804433,253739,1146135
Chandrapur,13,DISTRICT,Urban,Chandrapur,,180458,775378,397728,377650,76851,160722,65645,616221,260723,223223,37500,514655
Chandrapur,13,DISTRICT,Rural,Chandrapur,,356228,1428929,726106,702823,154465,187643,323796,962394,797449,581210,216239,631480
Chandrapur,13,TOWN,Urban,Warora (M Cl),802719,10813,46532,23424,23108,4466,5184,5285,37813,15398,12853,2545,31134
Chandrapur,13,TOWN,Urban,Brahmapuri (M Cl),802720,8575,36025,18052,17973,3283,7659,2276,29367,13591,10587,3004,22434
Chandrapur,13,TOWN,Urban,Bhadravati (M Cl),802721,14617,60565,31451,29114,6211,11716,5033,48519,20210,17633,2577,40355
Chandrapur,13,TOWN,Urban,Shivaji Nagar (Ct),541242,2755,13877,7312,6565,1596,4198,1029,10270,3719,3409,310,10158
Chandrapur,13,TOWN,Urban,Chandrapur (M Cl),802722,74276,320379,164085,156294,31345,61164,25794,258463,105327,92286,13041,215052
Chandrapur,13,TOWN,Urban,Kondumal (Ct),541334,2642,10497,5405,5092,715,1916,1363,9321,3173,2994,179,7324
Chandrapur,13,TOWN,Urban,Durgapur (Ct),541335,4178,17693,9069,8624,1532,6019,1128,14149,6054,5258,796,11639
Chandrapur,13,TOWN,Urban,Urjanagar (Ct),541336,1192,4748,2430,2318,530,1750,502,3684,1744,1319,425,3004
Chandrapur,13,TOWN,Urban,Tadali (Ct),541337,1211,4942,2597,2345,442,942,475,4044,1734,1454,280,3208
Chandrapur,13,TOWN,Urban,Padoli (Ct),541338,1275,5275,2777,2498,712,884,554,3761,2228,2133,95,3047
Chandrapur,13,TOWN,Urban,Ghugus (Ct),541339,7438,32654,16980,15674,3381,8741,1645,25285,10497,9318,1179,22157
Chandrapur,13,TOWN,Urban,Nakoda (Ct),541340,1429,5634,2947,2687,607,1743,588,4324,1810,1751,59,3824
Chandrapur,13,TOWN,Urban,Mul (M Cl),802723,6090,25449,12764,12685,2600,4206,2315,18763,9741,7153,2588,15708
Chandrapur,13,TOWN,Urban,Ballarpur (M Cl),802724,19596,89452,45877,43575,9016,26026,6497,70118,28339,24642,3697,61113
Chandrapur,13,TOWN,Urban,Nandgaon Pode (Ct),541549,900,3836,2012,1824,344,810,397,2974,1591,1272,319,2245
Chandrapur,13,TOWN,Urban,Visapur (Ct),541550,2280,9398,4831,4567,951,2100,1457,6939,3849,3197,652,5549
Chandrapur,13,TOWN,Urban,Awalpur (Ct),541661,1221,4882,2506,2376,440,1112,545,3911,2117,1949,168,2765
Chandrapur,13,TOWN,Urban,Nanda (Ct),541662,2238,9378,4901,4477,888,1518,1495,7027,3353,2896,457,6025
Chandrapur,13,TOWN,Urban,Chandur (Ct),541663,6478,26755,13841,12914,3123,4459,2651,20224,9921,7917,2004,16834
Chandrapur,13,TOWN,Urban,Rajura (M Cl),802725,6907,29668,15337,14331,2971,4311,2326,23528,9776,8412,1364,19892
Chandrapur,13,TOWN,Urban,Sasti (Ct),541855,1058,4320,2251,2069,508,1408,370,3104,1720,1503,217,2600
Chandrapur,13,TOWN,Urban,Dhopatala (Ct),541856,1153,4945,2577,2368,294,1654,345,4240,1587,1361,226,3358
Chandrapur,13,TOWN,Urban,Gondpipri (Ct),541954,2136,8474,4302,4172,896,1202,1575,6393,3244,1926,1318,5230
