district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Parbhani,17,DISTRICT,Total,Parbhani,,361130,1836086,942870,893216,257320,247308,40514,1157814,822797,756417,66380,1013289
Parbhani,17,DISTRICT,Urban,Parbhani,,104731,569806,290984,278822,77358,74634,8364,394366,178660,158121,20539,391146
Parbhani,17,DISTRICT,Rural,Parbhani,,256399,1266280,651886,614394,179962,172674,32150,763448,644137,598296,45841,622143
Parbhani,17,TOWN,Urban,Sailu (M Cl),802751,8761,46915,24128,22787,6298,4564,1077,31644,15617,14466,1151,31298
Parbhani,17,TOWN,Urban,Jintur (M Cl),802752,7722,44291,22616,21675,6568,3947,798,29523,13188,11010,2178,31103
Parbhani,17,TOWN,Urban,Parbhani (M Cl),802753,56566,307170,156520,150650,41079,37667,3632,217189,92709,81489,11220,214461
Parbhani,17,TOWN,Urban,Manwath (M Cl),802754,6011,32488,16522,15966,4460,2991,534,21881,11275,10117,1158,21213
Parbhani,17,TOWN,Urban,Pathri (M Cl),802755,6661,36853,19025,17828,5564,4436,306,24469,12635,11378,1257,24218
Parbhani,17,TOWN,Urban,Sonpeth (M Cl),802756,3031,15765,8120,7645,2128,1955,101,10208,6295,6004,291,9470
Parbhani,17,TOWN,Urban,Gangakhed (M Cl),802757,9316,49891,25556,24335,6425,7917,934,33236,16439,14410,2029,33452
Parbhani,17,TOWN,Urban,Purna (M Cl),802758,6663,36433,18497,17936,4836,11157,982,26216,10502,9247,1255,25931
