district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Pune,25,DISTRICT,Total,Pune,,2151503,9429408,4924105,4505303,1104959,1180703,348876,7171723,4048993,3751221,297772,5380415
Pune,25,DISTRICT,Urban,Pune,,1371531,5751182,3020665,2730517,664857,819674,93487,4549501,2220406,2074451,145955,3530776
Pune,25,DISTRICT,Rural,Pune,,779972,3678226,1903440,1774786,440102,361029,255389,2622222,1828587,1676770,151817,1849639
Pune,25,TOWN,Urban,Junnar (M Cl),802806,5637,25315,13066,12249,2673,1462,1892,20468,8452,7781,671,16863
Pune,25,TOWN,Urban,Manchar (Ct),555557,4227,18876,9643,9233,2285,1010,1183,14876,7537,7188,349,11339
Pune,25,TOWN,Urban,Shirur (M Cl),802807,8030,37111,19003,18108,4728,4613,1008,27585,12394,11542,852,24717
Pune,25,TOWN,Urban,Koregaon Bhima (Ct),555673,3192,13116,7220,5896,1954,1566,266,9980,5504,5064,440,7612
Pune,25,TOWN,Urban,Sanaswadi (Ct),555674,3386,13543,7403,6140,1975,1684,225,10108,6141,5775,366,7402
Pune,25,TOWN,Urban,Alandi (M Cl),802808,7193,28645,16142,12503,3552,2819,485,22852,10316,9772,544,18329
Pune,25,TOWN,Urban,Rajgurunagar (Khed) (Ct),555861,5910,25146,12899,12247,2822,1565,1279,20186,9521,8742,779,15625
Pune,25,TOWN,Urban,Chakan (Ct),555862,10232,41113,22194,18919,6233,4477,922,30665,16935,15776,1159,24178
Pune,25,TOWN,Urban,Kharabwadi (Ct),555863,2377,9200,5033,4167,1524,1521,403,6779,3783,3686,97,5417
Pune,25,TOWN,Urban,Nanekarwadi (Ct),555864,3598,12654,7442,5212,2000,1087,903,9542,5936,5639,297,6718
Pune,25,TOWN,Urban,Medankarwadi (Ct),555865,3349,12576,7113,5463,2054,1163,276,9457,5369,4723,646,7207
Pune,25,TOWN,Urban,Talegaon Dabhade (M Cl),802809,13856,56435,29033,27402,6232,4619,1695,45934,20537,18995,1542,35898
Pune,25,TOWN,Urban,Lonavala (M Cl),802810,12195,57698,30854,26844,5983,7658,2203,46196,22843,21620,1223,34855
Pune,25,TOWN,Urban,Wadagaon (Ct),556053,3416,14595,7583,7012,1921,1378,601,11134,5126,4585,541,9469
Pune,25,TOWN,Urban,Khadkale (Ct),556054,2998,13435,6971,6464,1814,1629,701,10070,4738,4132,606,8697
Pune,25,TOWN,Urban,Kusgaon Bk. (Ct),556055,2736,15612,8909,6703,1732,1259,394,12264,4428,3937,491,11184
Pune,25,TOWN,Urban,Hinjavadi (Ct),556201,2856,11459,6294,5165,1747,1767,194,8171,4921,4520,401,6538
Pune,25,TOWN,Urban,Pirangut (Ct),556202,3606,14174,7727,6447,2234,1497,219,10423,6173,5735,438,8001
Pune,25,TOWN,Urban,Pimpri Chinchwad (M Corp.),802811,427356,1727692,942533,785159,221746,273810,36535,1343658,676832,629863,46969,1050860
Pune,25,TOWN,Urban,Dehu Road (Cb),802812,10634,48961,25971,22990,5700,10693,1370,39351,18912,17815,1097,30049
Pune,25,TOWN,Urban,Dehu (Ct),556326,1381,6133,3178,2955,660,1608,57,4851,2412,2112,300,3721
Pune,25,TOWN,Urban,Wagholi (Ct),556327,7743,33479,17767,15712,4915,4676,470,24319,12309,11511,798,21170
Pune,25,TOWN,Urban,Yewalewadi (Ct),556328,1733,7685,4137,3548,1257,1369,104,5112,2873,2765,108,4812
Pune,25,TOWN,Urban,Pune (Cb),802813,15102,71781,37046,34735,6349,9307,384,61244,27743,26596,1147,44038
Pune,25,TOWN,Urban,Pune (M Corp.),802814,742602,3124458,1603675,1520783,337062,419396,34025,2496324,1203153,1129388,73765,1921305
Pune,25,TOWN,Urban,Kirkee (Cb),802815,16266,78684,43837,34847,8164,14400,1750,65166,33674,31554,2120,45010
Pune,25,TOWN,Urban,Daund (M Cl),802816,10288,49450,25117,24333,5721,11454,1239,38244,16655,13951,2704,32795
Pune,25,TOWN,Urban,Daund (Ct),556432,1518,6863,3449,3414,683,3593,375,5335,2144,1964,180,4719
Pune,25,TOWN,Urban,Sasvad (M Cl),802817,7054,31821,16219,15602,3362,2941,523,24840,12611,11340,1271,19210
Pune,25,TOWN,Urban,Jejuri (M Cl),802818,3286,14515,7347,7168,1668,1900,273,11487,5487,5042,445,9028
Pune,25,TOWN,Urban,Shivatkar (Nira) (Ct),556541,2495,11228,5702,5526,1246,1586,336,8561,4142,3513,629,7086
Pune,25,TOWN,Urban,Bhor (M Cl),802819,4059,18453,9256,9197,1854,1406,395,15134,6435,5471,964,12018
Pune,25,TOWN,Urban,Baramati (M Cl),802820,11539,54415,27643,26772,5684,12436,324,44014,19026,18103,923,35389
Pune,25,TOWN,Urban,Jalochi (Ct),556983,4453,19346,10007,9339,2296,2064,133,15331,6788,6143,645,12558
Pune,25,TOWN,Urban,Indapur (M Cl),802821,5228,25515,13252,12263,3027,4261,345,19840,8556,8108,448,16959
