district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Ahmadnagar,26,DISTRICT,Total,Ahmadnagar,,930024,4543159,2342825,2200334,556014,573698,378230,3151890,2204590,2039455,165135,2338569
Ahmadnagar,26,DISTRICT,Urban,Ahmadnagar,,190941,912617,469918,442699,105541,130396,23255,706743,328772,299378,29394,583845
Ahmadnagar,26,DISTRICT,Rural,Ahmadnagar,,739083,3630542,1872907,1757635,450473,443302,354975,2445147,1875818,1740077,135741,1754724
Ahmadnagar,26,TOWN,Urban,Rajur (Ct),557317,1906,10046,5238,4808,1050,861,4043,7969,3582,2661,921,6464
Ahmadnagar,26,TOWN,Urban,Sangamner (M Cl),802822,13218,65804,33463,32341,7165,3478,1064,53280,21861,20553,1308,43943
Ahmadnagar,26,TOWN,Urban,Ghulewadi (Ct),557488,4455,21860,11487,10373,2360,3623,1030,17143,7681,7349,332,14179
Ahmadnagar,26,TOWN,Urban,Kopargaon (M Cl),802823,13211,65273,33222,32051,7839,10490,1668,48862,21825,19886,1939,43448
Ahmadnagar,26,TOWN,Urban,Shirdi (Np),802824,7775,36004,18751,17253,5107,7282,1299,25921,12106,11330,776,23898
Ahmadnagar,26,TOWN,Urban,Rahta Pimplas (M Cl),802825,4375,22335,11438,10897,2847,3784,1002,16510,8190,7614,576,14145
Ahmadnagar,26,TOWN,Urban,Shrirampur (M Cl),802826,18104,89282,44842,44440,10539,16688,1973,67638,30986,26625,4361,58296
Ahmadnagar,26,TOWN,Urban,Pathardi (M Cl),802827,5516,27211,14224,12987,3120,2907,218,20564,10062,8987,1075,17149
Ahmadnagar,26,TOWN,Urban,Ahmadnagar (M Corp.),802828,75960,350859,178899,171960,38439,45899,4074,280512,124270,113174,11096,226589
Ahmadnagar,26,TOWN,Urban,Ahmadnagar (Cb),802829,5608,28986,16568,12418,3213,5771,560,23787,11797,11020,777,17189
Ahmadnagar,26,TOWN,Urban,Nagapur (Ct),558166,2815,11790,6359,5431,1589,1703,116,9473,4430,4306,124,7360
Ahmadnagar,26,TOWN,Urban,Burhanagar (Ct),558167,1498,6885,3628,3257,843,1373,74,5159,2713,2262,451,4172
Ahmadnagar,26,TOWN,Urban,Nagardeole (Ct),558168,3831,18802,9768,9034,2165,4118,375,14987,6251,5881,370,12551
Ahmadnagar,26,TOWN,Urban,Darewadi (Ct),558169,2178,10860,6414,4446,1320,2032,141,8701,5036,4381,655,5824
Ahmadnagar,26,TOWN,Urban,Rahuri (M Cl),802830,7841,38813,20140,18673,4815,5838,2586,28454,14628,13500,1128,24185
Ahmadnagar,26,TOWN,Urban,Deolali Pravara (M Cl),802831,6570,30997,15984,15013,3826,4475,1405,21689,13078,12221,857,17919
Ahmadnagar,26,TOWN,Urban,Shrigonda (M Cl),802832,6343,31134,16048,15086,3650,3895,577,22513,13395,11969,1426,17739
Ahmadnagar,26,TOWN,Urban,Karjat (Ct),558631,2562,11659,6048,5611,1289,2172,180,8933,4324,4015,309,7335
Ahmadnagar,26,TOWN,Urban,Jamkhed (Ct),558718,7175,34017,17397,16620,4365,4007,870,24648,12557,11644,913,21460
