district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Latur,28,DISTRICT,Total,Latur,,481572,2454196,1273140,1181056,317811,480913,57488,1650672,1046857,964177,82680,1407339
Latur,28,DISTRICT,Urban,Latur,,118163,624980,323433,301547,79476,111304,9341,455827,189490,169620,19870,435490
Latur,28,DISTRICT,Rural,Latur,,363409,1829216,949707,879509,238335,369609,48147,1194845,857367,794557,62810,971849
Latur,28,TOWN,Urban,Latur (M Cl),802840,74557,382940,197737,185203,47811,67474,5550,282237,116044,104528,11516,266896
Latur,28,TOWN,Urban,Arvi (Ct),560210,2779,14015,7343,6672,1843,2643,174,9878,4789,4632,157,9226
Latur,28,TOWN,Urban,Ahmadpur (M Cl),802841,7942,43936,22796,21140,5691,6518,560,31618,13168,11590,1578,30768
Latur,28,TOWN,Urban,Ausa (M Cl),802842,6647,36118,18527,17591,4882,4131,193,24853,11455,10345,1110,24663
Latur,28,TOWN,Urban,Nilanga (M Cl),802843,6617,36172,18673,17499,4692,7026,716,25174,11654,10155,1499,24518
Latur,28,TOWN,Urban,Udgir (M Cl),802844,18054,103550,54013,49537,13642,21615,2005,75751,29883,26151,3732,73667
Latur,28,TOWN,Urban,Nideban (Ct),561037,1567,8249,4344,3905,915,1897,143,6316,2497,2219,278,5752
