district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Solapur,30,DISTRICT,Total,Solapur,,873167,4317756,2227852,2089904,538453,649745,77592,2910676,1898395,1763175,135220,2419361
Solapur,30,DISTRICT,Urban,Solapur,,279607,1399091,709509,689582,162125,206564,27861,1027888,503272,465855,37417,895819
Solapur,30,DISTRICT,Rural,Solapur,,593560,2918665,1518343,1400322,376328,443181,49731,1882788,1395123,1297320,97803,1523542
Solapur,30,TOWN,Urban,Karmala (M Cl),802853,4702,23199,11905,11294,2738,3535,430,17793,7428,6751,677,15771
Solapur,30,TOWN,Urban,Kurduvadi (M Cl),802854,4642,22463,11483,10980,2427,5401,292,17565,7058,6264,794,15405
Solapur,30,TOWN,Urban,Barshi (M Cl),802855,24713,118722,60801,57921,13418,18374,1480,90322,38885,35888,2997,79837
Solapur,30,TOWN,Urban,Solapur (M Corp.),802856,188503,951558,481064,470494,109360,138078,17982,697327,354935,328455,26480,596623
Solapur,30,TOWN,Urban,Pandharpur (M Cl),802857,20054,98923,50645,48278,11151,12211,5410,76058,30855,28520,2335,68068
Solapur,30,TOWN,Urban,Natepute (Ct),562511,3538,17930,9059,8871,2085,3639,140,13274,6827,6582,245,11103
Solapur,30,TOWN,Urban,Akluj (Ct),562512,8371,39972,20318,19654,5236,9240,354,29022,13761,13096,665,26211
Solapur,30,TOWN,Urban,Sangramnagar (Ct),562513,1343,6499,3358,3141,744,839,49,5073,2188,2113,75,4311
Solapur,30,TOWN,Urban,Sangole (M Cl),802858,6883,34321,17720,16601,4224,4803,170,24982,12624,11256,1368,21697
Solapur,30,TOWN,Urban,Mangalvedhe (M Cl),802859,4420,21824,11109,10715,2510,2629,190,15797,7439,7017,422,14385
Solapur,30,TOWN,Urban,Akkalkot (M Cl),802860,7869,40103,20051,20052,5315,5305,769,26471,12679,11984,695,27424
Solapur,30,TOWN,Urban,Maindargi (M Cl),802861,2468,12363,6217,6146,1483,1261,178,7380,4601,4246,355,7762
Solapur,30,TOWN,Urban,Dudhani (M Cl),802862,2101,11214,5779,5435,1434,1249,417,6824,3992,3683,309,7222
