district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Ratnagiri,32,DISTRICT,Total,Ratnagiri,,397115,1615069,761121,853948,155560,66948,20374,1199392,714076,554973,159103,900993
Ratnagiri,32,DISTRICT,Urban,Ratnagiri,,61797,263723,130908,132815,26487,9424,1586,220035,85850,77689,8161,177873
Ratnagiri,32,DISTRICT,Rural,Ratnagiri,,335318,1351346,630213,721133,129073,57524,18788,979357,628226,477284,150942,723120
Ratnagiri,32,TOWN,Urban,Dapoli Camp (Np),802872,3650,15713,7772,7941,1709,622,130,12988,4694,4475,219,11019
Ratnagiri,32,TOWN,Urban,Gimhavane (Ct),564968,1257,5025,2501,2524,447,501,26,4262,1728,1606,122,3297
Ratnagiri,32,TOWN,Urban,Jalgaon (Ct),564969,1586,6480,3373,3107,552,345,112,5633,2214,1971,243,4266
Ratnagiri,32,TOWN,Urban,Dabhol (Ct),564970,1527,7038,3515,3523,620,14,0,5669,2545,2024,521,4493
Ratnagiri,32,TOWN,Urban,Khed (M Cl),802873,3923,16892,8151,8741,1752,1083,128,14281,4720,4329,391,12172
Ratnagiri,32,TOWN,Urban,Chiplun (M Cl),802874,12925,55139,27355,27784,5565,2112,221,46561,17261,15703,1558,37878
Ratnagiri,32,TOWN,Urban,Kherdi (Ct),565351,2970,12397,6436,5961,1335,470,29,10260,4391,4106,285,8006
Ratnagiri,32,TOWN,Urban,Mouje Anjanvel (Ct),565473,361,1621,823,798,147,32,18,1293,588,460,128,1033
Ratnagiri,32,TOWN,Urban,Ratnagiri (M Cl),802875,17585,76229,37670,38559,7577,1924,545,63075,24941,23198,1743,51288
Ratnagiri,32,TOWN,Urban,Zadgaon (Ct),565670,1846,7803,3856,3947,860,141,40,6512,2321,2188,133,5482
Ratnagiri,32,TOWN,Urban,Nachane (Ct),565671,2958,11688,5971,5717,1197,381,55,9806,4240,3982,258,7448
Ratnagiri,32,TOWN,Urban,Karle (Ct),565672,883,4382,1904,2478,509,0,0,3619,950,756,194,3432
Ratnagiri,32,TOWN,Urban,Kuwarbav (Ct),565673,1631,6497,3327,3170,698,287,76,5386,2419,1984,435,4078
Ratnagiri,32,TOWN,Urban,Devrukh (Ct),565872,3068,12689,6242,6447,1091,443,49,10597,4785,3654,1131,7904
Ratnagiri,32,TOWN,Urban,Lanja (Ct),565995,3375,14377,7173,7204,1521,807,82,11872,4828,4276,552,9549
Ratnagiri,32,TOWN,Urban,Rajapur (M Cl),802876,2252,9753,4839,4914,907,262,75,8221,3225,2977,248,6528
