district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Sindhudurg,33,DISTRICT,Total,Sindhudurg,,209839,849651,417332,432319,71193,55586,6976,666067,347178,226538,120640,502473
Sindhudurg,33,DISTRICT,Urban,Sindhudurg,,26638,107006,54064,52942,9478,6877,957,89794,38215,31992,6223,68791
Sindhudurg,33,DISTRICT,Rural,Sindhudurg,,183201,742645,363268,379377,61715,48709,6019,576273,308963,194546,114417,433682
Sindhudurg,33,TOWN,Urban,Kankavli (Np),802877,4137,16398,8388,8010,1551,1489,222,13749,5722,4979,743,10676
Sindhudurg,33,TOWN,Urban,Kalmath (Ct),566496,1929,8011,4018,3993,812,852,95,6496,2740,2117,623,5271
Sindhudurg,33,TOWN,Urban,Malwan (M Cl),802878,4620,18648,9663,8985,1364,775,116,16074,7367,6327,1040,11281
Sindhudurg,33,TOWN,Urban,Vengurla (M Cl),802879,3147,12392,6196,6196,979,893,168,10447,4500,3617,883,7892
Sindhudurg,33,TOWN,Urban,Kudal (Ct),566839,4001,16015,8071,7944,1605,1161,109,12957,5786,4583,1203,10229
Sindhudurg,33,TOWN,Urban,Sawantwadi (M Cl),802880,5941,23851,11903,11948,2117,1121,176,20398,8004,6986,1018,15847
Sindhudurg,33,TOWN,Urban,Majgaon (Ct),566922,1218,5080,2483,2597,467,247,20,4190,1832,1386,446,3248
Sindhudurg,33,TOWN,Urban,Banda (Ct),566923,1645,6611,3342,3269,583,339,51,5483,2264,1997,267,4347
