district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Sangli,35,DISTRICT,Total,Sangli,,598386,2822143,1435728,1386415,306777,353093,18333,2049467,1215104,1074948,140156,1607039
Sangli,35,DISTRICT,Urban,Sangli,,155950,719357,364604,354753,76494,100743,5513,554373,251113,229118,21995,468244
Sangli,35,DISTRICT,Rural,Sangli,,442436,2102786,1071124,1031662,230283,252350,12820,1495094,963991,845830,118161,1138795
Sangli,35,TOWN,Urban,Uran Islampur (M Cl),802891,14376,67391,34435,32956,6870,8249,458,53185,22726,20319,2407,44665
Sangli,35,TOWN,Urban,Ashta (M Cl),802892,7709,37105,19171,17934,3739,5750,519,27893,14739,13172,1567,22366
Sangli,35,TOWN,Urban,Vita (M Cl),802893,10328,48289,24692,23597,5321,6628,402,37499,17619,16129,1490,30670
Sangli,35,TOWN,Urban,Tasgaon (M Cl),802894,7868,37945,19460,18485,3971,3484,460,29905,13835,12406,1429,24110
Sangli,35,TOWN,Urban,Sangli Miraj Kupwad (M Corp.),802895,110062,502793,253640,249153,53798,73032,3496,385728,173225,158958,14267,329568
Sangli,35,TOWN,Urban,Budhgaon (Ct),568758,3237,14666,7526,7140,1512,1406,135,11575,5108,4467,641,9558
Sangli,35,TOWN,Urban,Madhavnagar (Ct),568759,2370,11168,5680,5488,1283,2194,43,8588,3861,3667,194,7307
