district,district_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nandurbar,01,245421,1311709,663511,648198,230213,41412,859574,603221,610033,458321,151712,701676
Dhule,02,324557,1707947,878372,829575,255231,109102,443564,1040837,737941,573496,164445,970006
Jalgaon,03,732767,3682690,1905493,1777197,525668,286777,435951,2381376,1563983,1300086,263897,2118707
Buldana,04,445634,2232480,1147403,1085077,340294,241623,115156,1433889,1016015,908797,107218,1216465
Akola,05,319947,1630239,841253,788986,235835,168447,100088,1135245,648243,582264,65979,981996
Washim,06,200958,1020216,526094,494122,160486,162663,70987,630763,455332,395651,59681,564884
Amravati,07,526230,2607160,1345614,1261546,357834,446623,356533,1856549,1095622,908363,187259,1511538
Wardha,08,270502,1236736,638990,597746,155612,158630,154415,865556,550351,431330,119021,686385
Nagpur,09,838599,4067637,2105314,1962323,525850,696461,444441,2976205,1538349,1283079,255270,2529288
Bhandara,10,244531,1136146,573445,562701,154051,201949,97718,770662,536885,365464,171421,599261
Gondiya,11,249720,1200707,598834,601873,171191,167699,196455,808414,579596,391890,187706,621111
Gadchiroli,12,210362,970294,491101,479193,154744,108824,371696,490121,497104,336959,160145,473190
Chandrapur,13,462632,2071101,1062993,1008108,279490,296927,375256,1311008,930791,683029,247762,1140310
Yavatmal,14,518214,2458271,1265681,1192590,369402,252802,473370,1537777,1118937,949453,169484,1339334
Nanded,15,527875,2876259,1481358,1394901,477303,498196,253596,1625685,1202037,965087,236950,1674222
Hingoli,16,180695,987160,505373,481787,167098,100697,86898,543309,459978,412838,47140,527182
Parbhani,17,278702,1527715,780191,747524,252435,152463,35210,842536,644752,559917,84835,882963
Jalna,18,303886,1612980,826903,786077,261386,181017,32103,870399,716900,611998,104902,896080
Aurangabad,19,549898,2897013,1505363,1391650,467934,376181,100416,1771659,1176857,1025531,151326,1720156
Nashik,20,915137,4993796,2590912,2402884,789398,426516,1194271,3126188,2185573,1911340,274233,2808223
Thane,21,1755124,8131849,4377747,3754102,1144896,339720,1199290,5635799,3179981,2782004,397977,4951868
Mumbai Suburban,22,1838426,8640419,4741720,3898699,1024700,401569,70454,6617264,3152509,2971039,181470,5487910
Mumbai,23,677163,3338031,1878246,1459785,339723,183469,20666,2590613,1311739,1250710,61029,2026292
Raigarh,24,478933,2207929,1117628,1090301,314767,53667,269124,1458324,913995,664689,249306,1293934
Pune,25,1517041,7232555,3769128,3463427,968851,761857,261722,5039290,2954482,2645429,309053,4278073
Ahmadnagar,26,776787,4040642,2083053,1957589,589706,484685,303255,2598597,1857046,1611061,245985,2183596
Bid,27,414973,2161250,1116356,1044894,335283,281240,24193,1241434,957584,830658,126926,1203666
Latur,28,381600,2080285,1075257,1005028,326777,404251,47836,1254534,840518,712849,127669,1239767
Osmanabad,29,295750,1486586,769368,717218,223183,245790,27857,872022,653522,555202,98320,833064
Solapur,30,735092,3849543,1989623,1859920,569609,578123,68989,2336825,1743041,1485967,257074,2106502
Satara,31,570606,2808994,1408326,1400668,368531,246110,21896,1908947,1303658,1044989,258669,1505336
Ratnagiri,32,377366,1696777,794498,902279,236601,24515,20102,1095833,763387,557613,205774,933390
Sindhudurg,33,192666,868825,417890,450935,105518,38536,4952,612919,404985,233827,171158,463840
Kolhapur,34,712349,3523162,1807470,1715692,449883,449641,21387,2364307,1652970,1394882,258088,1870192
Sangli,35,506593,2583524,1320088,1263436,341643,313474,17855,1717836,1218655,952241,266414,1364869
