district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nandurbar,01,TOWN,Urban,Talode (M Cl),40101000,4379,25036,12780,12256,3571,1112,7068,14991,8428,7821,607,16608
Nandurbar,01,TOWN,Urban,Purushottamnagar (Ct),40102000,800,3594,1922,1672,412,260,637,2776,1017,930,87,2577
Nandurbar,01,TOWN,Urban,Shahade (M Cl),40103000,8641,49696,25751,23945,7308,3388,5260,35023,14399,13158,1241,35297
Nandurbar,01,TOWN,Urban,Nandurbar (M Cl),40104000,16423,94368,49118,45250,12401,6720,10279,67637,26490,25043,1447,67878
Nandurbar,01,TOWN,Urban,Nawapur (M Cl),40105000,5496,29979,15427,14552,4376,1470,7765,19806,9424,7984,1440,20555
Dhule,02,TOWN,Urban,Shirpur-Warwade (M Cl),40201000,11083,61694,32127,29567,8890,4379,4151,42638,18577,16445,2132,43117
Dhule,02,TOWN,Urban,Dondaicha-Warwade(M Cl),40202000,8024,42436,22109,20327,6327,2396,5602,29653,13190,11438,1752,29246
Dhule,02,TOWN,Urban,Dhule (M Cl),40203000,61369,341755,177772,163983,47179,26740,13672,251609,96382,87252,9130,245373
Jalgaon,03,TOWN,Urban,Chopda (M Cl),40301000,10871,60865,31609,29256,8511,3593,3961,40026,19473,15993,3480,41392
Jalgaon,03,TOWN,Urban,Yawal (M Cl),40302000,5646,31803,16414,15389,4601,2324,1306,20891,10427,8278,2149,21376
Jalgaon,03,TOWN,Urban,Faizpur (M Cl),40303000,4406,23694,12310,11384,3149,909,1231,17467,7382,6458,924,16312
Jalgaon,03,TOWN,Urban,Savda (M Cl),40304000,3658,19332,9996,9336,2558,1067,1055,13764,6573,6397,176,12759
Jalgaon,03,TOWN,Urban,Raver (M Cl),40305000,4240,25993,13427,12566,4036,1619,489,16714,7929,7500,429,18064
Jalgaon,03,TOWN,Urban,Nimbhore Budruk (Ct),40306000,1846,8448,4485,3963,812,737,798,6906,2328,1976,352,6120
