district,town_name,display_name,first_census,census_count,lat,lon,geocode_status,geocode_query
Ahmadnagar,deolali-pravara,Deolali-Pravara (M),1991,1,19.475724,74.620833,ok,"Deolali-Pravara, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,kopargaon,Kopargaon (M),1991,3,19.883503,74.470199,ok,"Kopargaon, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,pathardi,Pathardi (M),1991,3,19.170249,75.173563,ok,"Pathardi, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,rahuri,Rahuri (M),1991,3,19.397747,74.645251,ok,"Rahuri, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,sangamner,Sangamner (M),1991,3,19.603419,74.192844,ok,"Sangamner, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,shirdi,Shirdi (M),1991,3,19.766812,74.475439,fallback,"Shirdi, Maharashtra, India"
Ahmadnagar,shrigonda,Shrigonda (M),1991,3,18.588411,74.625431,ok,"Shrigonda, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,shrirampur,Shrirampur (M),1991,3,19.620687,74.688651,ok,"Shrirampur, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,shrirampur (r),Shrirampur (R) (Ct),1991,1,19.619971,74.654694,fallback,"Shrirampur (R), Maharashtra, India"
Ahmadnagar,wari,Wari (Ct),1991,1,19.095376,74.755492,ok_photon,"Wari, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,ghulewadi,Ghulewadi (Ct),2001,2,19.601555,74.193456,fallback,"Ghulewadi, Maharashtra, India"
Ahmadnagar,singnapur,Singnapur (Ct),2001,1,19.903172,74.506384,ok,"Singnapur, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,shrirampur (rural),Shrirampur (Rural) (Ct),2001,1,19.620687,74.688651,ok,"Shrirampur, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,nagapur,Nagapur (Ct),2001,2,19.163563,74.703303,ok,"Nagapur, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,nagardeole,Nagardeole (Ct),2001,2,19.095376,74.755492,ok_photon,"Nagardeole, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,bhingar,Bhingar (Ct),2001,1,19.096688,74.764793,fallback,"Bhingar, Maharashtra, India"
Ahmadnagar,deolali pravara,Deolali Pravara (M Cl),2001,2,19.475724,74.620833,ok,"Deolali Pravara, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,jamkhed,Jamkhed (Ct),2001,2,18.734242,75.313997,ok,"Jamkhed, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,rajur,Rajur (Ct),2011,1,19.522742,73.864919,ok,"Rajur, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,darewadi,Darewadi (Ct),2011,1,19.062039,74.76972,ok,"Darewadi, Ahmadnagar district, Maharashtra, India"
Ahmadnagar,karjat,Karjat (Ct),2011,1,18.545107,75.005275,ok,"Karjat, Ahmadnagar district, Maharashtra, India"
Akola,akola,Akola (M),1991,3,20.71166,77.002632,ok,"Akola, Akola district, Maharashtra, India"
Akola,akot,Akot (M),1991,3,21.047461,77.055276,ok,"Akot, Akola district, Maharashtra, India"
Akola,balapur,Balapur (M),1991,3,20.732696,76.836328,ok,"Balapur, Akola district, Maharashtra, India"
Akola,karanja,Karanja (M),1991,1,20.856736,76.815284,ok,"Karanja, Akola district, Maharashtra, India"
Akola,mangrulpir,Mangrulpir (M),1991,1,20.275865,77.326123,fallback,"Mangrulpir, Maharashtra, India"
Akola,murtijapur,Murtijapur (M),1991,3,20.734645,77.369928,ok,"Murtijapur, Akola district, Maharashtra, India"
Akola,patur,Patur (M),1991,3,20.422946,76.863247,ok,"Patur, Akola district, Maharashtra, India"
Akola,risod,Risod (M),1991,1,20.761812,77.192116,ok_photon,"Risod, Akola district, Maharashtra, India"
Akola,telhara,Telhara (M),1991,3,21.037752,76.867132,ok,"Telhara, Akola district, Maharashtra, India"
Akola,washim,Washim (M),1991,1,20.287418,77.236965,ok_photon,"Washim, Maharashtra, India"
Akola,umri pragane balapur,Umri Pragane Balapur (Ct),2001,2,20.718772,77.030332,ok,"Umri Pragane Balapur, Akola district, Maharashtra, India"
Akola,malkapur,Malkapur (Ct),2001,2,20.682429,77.022559,ok,"Malkapur, Akola district, Maharashtra, India"
Akola,umari pr. akola,Umari Pr. Akola (Ct),2011,1,20.707182,77.024614,ok,"Umari Pr. Akola, Akola district, Maharashtra, India"
Akola,shivar,Shivar (Ct),2011,1,20.697101,77.053243,ok,"Shivar, Akola district, Maharashtra, India"
Akola,shivani,Shivani (Ct),2011,1,20.678555,77.052286,ok,"Shivani, Akola district, Maharashtra, India"
Akola,khadki bk,Khadki Bk (Ct),2011,1,20.66862,77.026332,ok,"Khadki Bk, Akola district, Maharashtra, India"
Amravati,achalpur,Achalpur (M),1991,3,21.240793,77.427797,ok,"Achalpur, Amravati district, Maharashtra, India"
Amravati,amravati,Amravati (M.Corp.),1991,3,20.931622,77.758846,ok,"Amravati, Amravati district, Maharashtra, India"
Amravati,anjangaon,Anjangaon (M),1991,3,21.163839,77.311084,ok,"Anjangaon, Amravati district, Maharashtra, India"
Amravati,chandur,Chandur (M),1991,2,20.815572,77.971959,ok,"Chandur, Amravati district, Maharashtra, India"
Amravati,chandurbazar,Chandurbazar (M),1991,3,21.26519,77.703069,ok,"Chandurbazar, Amravati district, Maharashtra, India"
Amravati,chikhaldara,Chikhaldara (M),1991,3,21.476398,77.275779,ok,"Chikhaldara, Amravati district, Maharashtra, India"
Amravati,daryapur banosa,Daryapur Banosa (M),1991,3,20.923353,77.323919,ok,"Daryapur Banosa, Amravati district, Maharashtra, India"
Amravati,dattapur dhamangaon,Dattapur Dhamangaon (M),1991,3,20.781529,78.139307,ok,"Dattapur Dhamangaon, Amravati district, Maharashtra, India"
Amravati,morshi,Morshi (M),1991,3,21.341666,78.014034,ok,"Morshi, Amravati district, Maharashtra, India"
Amravati,shendurjana,Shendurjana (M),1991,3,21.521543,78.289432,ok,"Shendurjana, Amravati district, Maharashtra, India"
Amravati,warud,Warud (M),1991,3,21.473109,78.272852,ok,"Warud, Amravati district, Maharashtra, India"
Amravati,dharni,Dharni (Ct),2011,1,21.552424,76.889193,ok,"Dharni, Amravati district, Maharashtra, India"
Amravati,chandur railway,Chandur Railway (M Cl),2011,1,20.764872,77.973035,ok,"Chandur Railway, Amravati district, Maharashtra, India"
Aurangabad,gangapur,Gangapur (M),1991,3,19.697402,75.008919,ok,"Gangapur, Aurangabad district, Maharashtra, India"
Aurangabad,kannad,Kannad (M),1991,3,20.278374,75.133241,ok,"Kannad, Aurangabad district, Maharashtra, India"
Aurangabad,khuldabad,Khuldabad (M),1991,3,20.090158,75.215838,fallback,"Khuldabad, Maharashtra, India"
Aurangabad,paithan,Paithan (M),1991,3,19.850382,75.298712,ok,"Paithan, Aurangabad district, Maharashtra, India"
Aurangabad,sillod,Sillod (M),1991,3,20.301074,75.649479,ok,"Sillod, Aurangabad district, Maharashtra, India"
Aurangabad,vaijapur,Vaijapur (M),1991,3,19.924128,74.727928,ok,"Vaijapur, Aurangabad district, Maharashtra, India"
Aurangabad,pandharpur,Pandharpur (Ct),2001,2,19.833071,75.251739,ok,"Pandharpur, Aurangabad district, Maharashtra, India"
Aurangabad,satara,Satara (Ct),2011,1,19.851523,75.311624,ok,"Satara, Aurangabad district, Maharashtra, India"
Aurangabad,anantpur,Anantpur (Ct),2011,1,19.917221,75.311995,ok_photon,"Anantpur, Aurangabad district, Maharashtra, India"
Aurangabad,harsul,Harsul (Ct),2011,1,19.916386,75.350886,ok,"Harsul, Aurangabad district, Maharashtra, India"
Aurangabad,ranjangaon (s),Ranjangaon (S) (Ct),2011,1,19.840501,75.216829,ok_photon,"Ranjangaon, Aurangabad district, Maharashtra, India"
Aurangabad,waluj bk.,Waluj Bk. (Ct),2011,1,19.845953,75.242357,fallback,"Waluj Bk., Maharashtra, India"
Aurangabad,chitegaon,Chitegaon (Ct),2011,1,20.404108,74.958386,fallback,"Chitegaon, Maharashtra, India"
Bhandara,bhandara,Bhandara (M),1991,3,21.17067,79.65658,ok,"Bhandara, Bhandara district, Maharashtra, India"
Bhandara,chikhala,Chikhala (Ct),1991,2,21.552474,79.762457,ok,"Chikhala, Bhandara district, Maharashtra, India"
Bhandara,gondiya,Gondiya (M),1991,1,21.371891,79.871424,ok_photon,"Gondiya, Bhandara district, Maharashtra, India"
Bhandara,pauni,Pauni (M),1991,3,20.792637,79.635963,ok,"Pauni, Bhandara district, Maharashtra, India"
Bhandara,sitasawangi,Sitasawangi (Ct),1991,1,21.531746,79.747871,ok,"Sitasawangi, Bhandara district, Maharashtra, India"
Bhandara,tirora,Tirora (M),1991,1,21.414012,79.916611,ok,"Tirora, Bhandara district, Maharashtra, India"
Bhandara,tumsar,Tumsar (M),1991,3,21.38204,79.750021,ok,"Tumsar, Bhandara district, Maharashtra, India"
Bhandara,warthi,Warthi (Ct),1991,2,21.236682,79.644993,ok,"Warthi, Bhandara district, Maharashtra, India"
Bhandara,dewhadi,Dewhadi (Ct),2001,1,21.341987,79.752803,ok,"Dewhadi, Bhandara district, Maharashtra, India"
Bhandara,ganeshpur,Ganeshpur (Ct),2001,2,21.151242,79.643298,ok,"Ganeshpur, Bhandara district, Maharashtra, India"
Bhandara,thana,Thana (Ct),2011,1,20.842843,79.738586,ok,"Thana, Bhandara district, Maharashtra, India"
Bhandara,shahapur,Shahapur (Ct),2011,1,21.154922,79.57082,ok,"Shahapur, Bhandara district, Maharashtra, India"
Bhandara,bela,Bela (Ct),2011,1,21.155245,79.618555,ok,"Bela, Bhandara district, Maharashtra, India"
Bhandara,sakoli,Sakoli (Ct),2011,1,21.087443,79.997425,ok,"Sakoli, Bhandara district, Maharashtra, India"
Bhandara,murmadi,Murmadi (Ct),2011,1,20.938757,79.830328,ok,"Murmadi, Bhandara district, Maharashtra, India"
Bid,ambejogai,Ambejogai (M),1991,3,18.704861,76.420276,fallback,"Ambejogai, Maharashtra, India"
Bid,ashti,Ashti (Ct),1991,2,18.887488,75.065502,fallback,"Ashti, Maharashtra, India"
Bid,bid,Bid (M),1991,3,18.986916,75.753321,ok_photon,"Beed, Bid district, Maharashtra, India"
Bid,dharur,Dharur (M),1991,3,18.820432,76.113733,fallback,"Dharur, Maharashtra, India"
Bid,georai,Georai (M),1991,3,19.26214,75.739602,fallback,"Georai, Maharashtra, India"
