district,norm_name,display_name,No_HH_1991,TOT_P_1991,TOT_M_1991,TOT_F_1991,P_06_1991,P_SC_1991,P_ST_1991,P_LIT_1991,TOT_WORK_P_1991,MAINWORK_P_1991,MARGWORK_P_1991,NON_WORK_P_1991,first_census,census_count,census_years_str,No_HH_2001,TOT_P_2001,TOT_M_2001,TOT_F_2001,P_06_2001,P_SC_2001,P_ST_2001,P_LIT_2001,TOT_WORK_P_2001,MAINWORK_P_2001,MARGWORK_P_2001,NON_WORK_P_2001,No_HH_2011,TOT_P_2011,TOT_M_2011,TOT_F_2011,P_06_2011,P_SC_2011,P_ST_2011,P_LIT_2011,TOT_WORK_P_2011,MAINWORK_P_2011,MARGWORK_P_2011,NON_WORK_P_2011
Dhule,akkalkuwa,Akkalkuwa (Ct),1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,dhule,Dhule (M),47469.0,278317.0,145793.0,132524.0,46402.0,20381.0,10229.0,183753.0,69478.0,68130.0,1348.0,207491.0,1991,3,"1991,2001,2011",61369.0,341755.0,177772.0,163983.0,47179.0,26740.0,13672.0,251609.0,96382.0,87252.0,9130.0,245373.0,72076.0,375559.0,193446.0,182113.0,44836.0,29245.0,15237.0,290569.0,113925.0,105372.0,8553.0,261634.0
Dhule,dondaicha,Dondaicha (M),5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,nandurbar,Nandurbar (M),12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,nawapur,Nawapur (M),4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,shahade,Shahade (M),5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,shirpur,Shirpur (M),7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,talode,Talode (M),3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,amalner,Amalner (M),13266.0,76442.0,39499.0,36943.0,11768.0,5815.0,3676.0,49051.0,20549.0,20017.0,532.0,55361.0,1991,3,"1991,2001,2011",17154.0,91490.0,47491.0,43999.0,11206.0,7225.0,4815.0,65972.0,26658.0,22718.0,3940.0,64832.0,19742.0,95994.0,49564.0,46430.0,10178.0,7245.0,6136.0,73114.0,32819.0,26940.0,5879.0,63175.0
Jalgaon,bhusawal,Bhusawal (M),26214.0,145143.0,75416.0,69727.0,21748.0,20538.0,4912.0,101656.0,35724.0,35005.0,719.0,108700.0,1991,3,"1991,2001,2011",33257.0,172372.0,89208.0,83164.0,20528.0,15638.0,5234.0,132255.0,45707.0,42040.0,3667.0,126665.0,38668.0,187421.0,96147.0,91274.0,19800.0,28542.0,6125.0,148137.0,54115.0,47281.0,6834.0,133306.0
Jalgaon,chalisgaon,Chalisgaon (M),13321.0,77420.0,40401.0,37019.0,13129.0,7507.0,2231.0,49767.0,19988.0,19378.0,610.0,56822.0,1991,3,"1991,2001,2011",16788.0,91110.0,47629.0,43481.0,11925.0,9258.0,2695.0,65723.0,27000.0,23080.0,3920.0,64110.0,19940.0,97551.0,50737.0,46814.0,11087.0,10171.0,3468.0,74252.0,31337.0,27123.0,4214.0,66214.0
Jalgaon,chopda,Chopda (M),8270.0,49234.0,25476.0,23758.0,7925.0,3549.0,2183.0,28472.0,15560.0,14791.0,769.0,32905.0,1991,3,"1991,2001,2011",10871.0,60865.0,31609.0,29256.0,8511.0,3593.0,3961.0,40026.0,19473.0,15993.0,3480.0,41392.0,13815.0,72783.0,37601.0,35182.0,8951.0,5439.0,5848.0,53364.0,23734.0,19516.0,4218.0,49049.0
