district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Dhule,akkalkuwa,Akkalkuwa (Ct),2012,1,1991,1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,0.6284528595512904,0.2505511606795487,2.9337474120082816,0.17637141745558294,0.20321618467124886,6.518174133558749,0.7273745519713262
Dhule,dhule,Dhule (M),2012,3,1991,73146.7,378939.4,195013.4,183926.0,44601.7,29495.5,15393.5,294465.0,115679.3,107184.0,8495.3,263260.1,0.7770767568640262,0.3052712386202121,2.275775354795542,0.11770140555455567,0.11845957427493684,5.1805399286639044,0.9431454453899065
Dhule,dondaicha,Dondaicha (M),2012,1,1991,5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,0.5553937160013079,0.3114949020540412,2.1701498234564367,0.17547040813293302,0.2010641776403793,5.654899983190452,0.9356156501726122
Dhule,nandurbar,Nandurbar (M),2012,1,1991,12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,0.6417362014851106,0.25984332338156113,2.814543847589119,0.15811834953685983,0.17267600602209804,6.039762657008554,0.9206528131738875
Dhule,nawapur,Nawapur (M),2012,1,1991,4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,0.5708322898405543,0.2904666499707822,2.4165828423624083,0.17155021287252692,0.32949327990650307,5.673218091404215,0.9394479073909172
Dhule,shahade,Shahade (M),2012,1,1991,5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,0.5914079648792725,0.27278143618689243,2.6627198528566502,0.18319222326748197,0.1673565380997178,6.024938598148498,0.9374240583232077
Dhule,shirpur,Shirpur (M),2012,1,1991,7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,0.5809112688152601,0.302106405098766,2.2779232438093815,0.17461465443203905,0.13544727206979162,5.874402549123738,0.9331527437958755
Dhule,talode,Talode (M),2012,1,1991,3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,0.5368663594470046,0.3300921658986175,1.9882730699427613,0.16506912442396313,0.3014746543778802,5.598555211558308,0.9609615037050425
Jalgaon,amalner,Amalner (M),2012,3,1991,20000.8,96444.4,49771.3,46673.1,10075.2,7247.0,6268.1,73828.2,33435.1,27362.2,6072.9,63009.3,0.7655001223502869,0.3466774639066654,1.884525543515647,0.10446640758820627,0.14013358992331335,4.822027118915243,0.9377512743287798
Jalgaon,bhusawal,Bhusawal (M),2012,3,1991,39209.1,188925.9,96840.9,92085.0,19727.2,29832.4,6214.1,149725.2,54955.8,47805.1,7150.7,133970.1,0.7925075386699231,0.2908854741462129,2.437779087921566,0.10441765792832006,0.19079702677081334,4.818419703589218,0.9508895518319224
Jalgaon,chalisgaon,Chalisgaon (M),2012,3,1991,20255.2,98195.1,51047.8,47147.3,11003.2,10262.3,3545.3,75104.9,31770.7,27527.3,4243.4,66424.4,0.7648538470860561,0.3235466942851527,2.0907439873846028,0.11205447114978243,0.14061394102149696,4.847895848967179,0.9235912223445477
Jalgaon,chopda,Chopda (M),2012,3,1991,14109.4,73974.8,38200.2,35774.6,8995.0,5623.6,6036.7,54697.8,24160.1,19868.3,4291.8,49814.7,0.7394112589692706,0.32659905805760875,2.061858187673064,0.12159546223849202,0.1576252994262911,5.242944420032035,0.9365029502463338
