speciesKey,species,scientificName,order,family,iucn_code,iucn_category
2475410,Merops orientalis,"Merops orientalis Latham, 1801",Coraciiformes,Meropidae,LC,LEAST_CONCERN
11273070,Ortygornis pondicerianus,"Ortygornis pondicerianus (J.F.Gmelin, 1789)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2496347,Eudynamys scolopaceus,"Eudynamys scolopaceus (Linnaeus, 1758)",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
5229167,Milvus migrans,"Milvus migrans (Boddaert, 1783)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
5846290,Saxicola maurus,"Saxicola maurus (Pallas, 1773)",Passeriformes,Muscicapidae,NE,NOT_EVALUATED
2479226,Psittacula krameri,"Psittacula krameri (Scopoli, 1769)",Psittaciformes,Psittacidae,LC,LEAST_CONCERN
nan,nan,"Tachyspiza Kaup, 1844",nan,nan,NE,NOT_EVALUATED
2482499,Corvus splendens,"Corvus splendens Vieillot, 1817",Passeriformes,Corvidae,LC,LEAST_CONCERN
6101224,Spilopelia chinensis,"Spilopelia chinensis (Scopoli, 1786)",Columbiformes,Columbidae,LC,LEAST_CONCERN
5232005,Centropus sinensis,"Centropus sinensis (Stephens, 1815)",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
2486131,Pycnonotus cafer,"Pycnonotus cafer (Linnaeus, 1766)",Passeriformes,Pycnonotidae,LC,LEAST_CONCERN
7341522,Phylloscopus humei,"Phylloscopus humei (W.E.Brooks, 1878)",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
9600020,Dicrurus leucophaeus,"Dicrurus leucophaeus Vieillot, 1817",Passeriformes,Dicruridae,LC,LEAST_CONCERN
6066512,Microcarbo niger,"Microcarbo niger (Vieillot, 1817)",Suliformes,Phalacrocoracidae,LC,LEAST_CONCERN
2492758,Prinia inornata,"Prinia inornata Sykes, 1832",Passeriformes,Cisticolidae,LC,LEAST_CONCERN
2480311,Charadrius alexandrinus,Anarhynchus alexandrinus,Charadriiformes,Charadriidae,LC,LEAST_CONCERN
2495414,Columba livia,"Columba livia J.F.Gmelin, 1789",Columbiformes,Columbidae,LC,LEAST_CONCERN
2493970,Dicrurus macrocercus,"Dicrurus macrocercus Vieillot, 1817",Passeriformes,Dicruridae,LC,LEAST_CONCERN
2486151,Pycnonotus jocosus,"Pycnonotus jocosus (Linnaeus, 1758)",Passeriformes,Pycnonotidae,LC,LEAST_CONCERN
6100941,Sturnia pagodarum,"Sturnia pagodarum (Gmelin, 1789)",Passeriformes,Sturnidae,LC,LEAST_CONCERN
6100870,Motacilla maderaspatensis,"Motacilla maderaspatensis Gmelin, 1789",Passeriformes,Motacillidae,LC,LEAST_CONCERN
5231190,Passer domesticus,"Passer domesticus (Linnaeus, 1758)",Passeriformes,Passeridae,LC,LEAST_CONCERN
2489362,Zosterops palpebrosus,"Zosterops palpebrosus (Temminck, 1824)",Passeriformes,Zosteropidae,LC,LEAST_CONCERN
2480880,Egretta intermedia,"Ardea intermedia Wagler, 1829",Pelecaniformes,Ardeidae,NE,NOT_EVALUATED
2494056,Ploceus philippinus,"Ploceus philippinus (Linnaeus, 1766)",Passeriformes,Ploceidae,LC,LEAST_CONCERN
2488963,Oriolus xanthornus,"Oriolus xanthornus (Linnaeus, 1758)",Passeriformes,Oriolidae,LC,LEAST_CONCERN
2480327,Pluvialis squatarola,"Pluvialis squatarola (Linnaeus, 1758)",Charadriiformes,Charadriidae,VU,VULNERABLE
7340608,Cinnyris asiaticus,"Cinnyris asiaticus (Latham, 1790)",Passeriformes,Nectariniidae,LC,LEAST_CONCERN
5788893,Saxicoloides fulicatus,"Copsychus fulicatus (Linnaeus, 1766)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
2480863,Nycticorax nycticorax,"Nycticorax nycticorax (Linnaeus, 1758)",Pelecaniformes,Ardeidae,LC,LEAST_CONCERN
2489005,Acridotheres tristis,"Acridotheres tristis (Linnaeus, 1766)",Passeriformes,Sturnidae,LC,LEAST_CONCERN
5228662,Apus affinis,"Apus affinis (J.E.Gray, 1830)",Apodiformes,Apodidae,LC,LEAST_CONCERN
2493598,Lonchura punctulata,"Lonchura punctulata (Linnaeus, 1758)",Passeriformes,Estrildidae,LC,LEAST_CONCERN
