speciesKey,state,direction,month,obs_count,mean_lat,mean_lon,individual_sum
2490307,gujarat,NW,12,1826,22.69139799616651,71.44121595235507,4963
8028588,gujarat,NW,2,998,22.493399137274604,71.16797772645292,7695
7341536,gujarat,NW,12,137,22.14094846715329,71.9826263211679,182
2480509,gujarat,NW,10,464,22.691221476293105,71.62200153017253,759
2480637,gujarat,NW,3,78,22.77327905128205,71.72269132051285,80
2492576,gujarat,NW,9,3018,23.29151073691184,69.78675117627564,5546
8214667,gujarat,NW,1,3927,22.647178558950685,71.32857239954134,474065
2490274,gujarat,NW,1,1451,22.844954530668492,70.69544127360449,3144
2490681,gujarat,NW,11,979,22.93709805822258,71.26819593769153,59108
9701857,gujarat,NW,11,1854,22.54346373894281,71.68822978209309,11585
8214667,gujarat,NW,2,2731,22.609677085316644,71.58775616331003,439437
2492605,gujarat,NW,10,481,22.45843014553014,72.04856771933483,684
2481035,gujarat,NW,11,134,22.64577137313433,71.23665244776124,146
2492865,gujarat,NW,1,2576,22.842993394409877,71.0303516510091,4675
2497295,gujarat,NW,11,345,23.11826840579705,71.5056602347827,893
2490788,gujarat,NW,1,34,21.617419617647055,71.12911632352942,53
2492746,gujarat,NW,10,419,22.86592693317422,70.83066397136038,945
6065824,gujarat,NW,2,1100,22.41338544636369,70.94672678909099,90888
2474950,gujarat,NW,12,5484,22.888471761487697,71.12218682330378,1081903
2498112,gujarat,NW,1,3626,22.63216818008807,71.46912062162117,922101
2480685,gujarat,NW,1,961,22.69180653694066,71.70486848907372,1180
2475365,gujarat,NW,9,6006,23.288406591575008,69.93336986846427,25279
5739357,gujarat,NW,2,681,22.61006375624082,71.67034634508065,1031
5846290,gujarat,NW,12,4209,22.616420382038225,71.51026513589883,13503
5846290,gujarat,NW,2,2934,22.534975883094702,71.68143655385126,8923
2492746,gujarat,NW,9,2492,23.311396667736695,69.8507193707867,6500
2492746,gujarat,NW,4,84,22.949386535714265,72.10992900000008,157
8012314,gujarat,NW,12,488,22.54766512090164,71.75313228073767,569
2493137,gujarat,NW,1,1020,22.486254895098103,71.51714708235296,2395
8214667,gujarat,NW,11,1207,22.636056896437488,71.38082925020721,62735
9362027,gujarat,NW,2,1878,22.589436192758278,71.76821287593215,244144
2492865,gujarat,NW,2,1582,22.81635751643494,71.24675124525928,2644
8214667,gujarat,NW,12,3462,22.68671731831298,71.41389084517571,165056
2480513,gujarat,NW,1,1308,23.078870734709465,71.05610163608571,3687
7340331,gujarat,NW,1,164,22.868482042682917,71.85366676829267,2196
4408732,gujarat,NW,12,1630,22.63969748895709,71.61340353312903,3204
9362027,gujarat,NW,1,2520,22.599203090079282,71.57751464880957,310822
2480491,gujarat,NW,11,832,22.8295875865384,71.3271692560094,2217
2498112,gujarat,NW,11,1137,22.593426884784538,71.38789268953398,65273
2498036,gujarat,NW,12,3363,22.862054150757977,72.02121738923523,431849
2480564,gujarat,NW,10,109,23.050528266055036,69.89088575229361,150
