speciesKey,months_present,seasonality_cv,centroid_shift_deg,peak_month,migration_class,arrival_month,departure_month,is_coastal,species,scientificName,order,family,iucn_code,iucn_category
11273070,12,0.2262,1.3093,11,resident,,,False,Ortygornis pondicerianus,"Ortygornis pondicerianus (J.F.Gmelin, 1789)",Galliformes,Phasianidae,LC,LEAST_CONCERN
11746102,11,0.3589,1.4031,12,resident,,,False,Chrysocolaptes socialis,"Chrysocolaptes socialis Koelz, 1939",Piciformes,Picidae,NE,NOT_EVALUATED
12210360,3,0.2702,0.1548,2,migratory,2.0,6.0,False,Ketupa coromanda,"Ketupa coromanda (Latham, 1790)",Strigiformes,Strigidae,NE,NOT_EVALUATED
2473356,12,0.5461,1.9818,8,resident,,,False,Perdicula asiatica,"Perdicula asiatica (Latham, 1790)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2473362,5,0.6639,0.2495,9,migratory,6.0,10.0,False,Perdicula erythrorhyncha,"Perdicula erythrorhyncha (Sykes, 1832)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2473365,12,1.0598,1.362,8,resident,,,False,Perdicula argoondah,"Perdicula argoondah (Sykes, 1832)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2473696,12,0.3608,2.1302,2,resident,,,False,Galloperdix spadicea,"Galloperdix spadicea (J.F.Gmelin, 1789)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2473700,1,0.0,0.0,5,passage,5.0,5.0,False,Galloperdix lunulata,"Galloperdix lunulata (Valenciennes, 1825)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2474156,1,0.0,0.0,11,passage,11.0,11.0,False,Coturnix coturnix,"Coturnix coturnix (Linnaeus, 1758)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2474163,12,1.4756,3.5218,8,resident,,,False,Coturnix coromandelica,"Coturnix coromandelica (J.F.Gmelin, 1789)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2474377,12,0.3562,1.4684,12,resident,,,False,Fulica atra,"Fulica atra Linnaeus, 1758",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474404,9,1.137,1.9222,6,migratory,4.0,12.0,True,Gallicrex cinerea,"Gallicrex cinerea (Gmelin, 1789)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474416,12,0.1862,0.9874,1,resident,,,False,Porphyrio porphyrio,"Porphyrio poliocephalus (Latham, 1801)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474460,8,0.7699,1.8975,6,migratory,5.0,1.0,True,Rallina eurizonoides,"Rallina eurizonoides (Lafresnaye, 1845)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474525,12,0.3846,1.1261,12,resident,,,True,Gallirallus striatus,"Lewinia striata (Linnaeus, 1766)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474621,4,0.6337,1.078,1,migratory,12.0,3.0,True,Porzana porzana,"Porzana porzana (Linnaeus, 1766)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474622,12,0.6612,1.1308,1,resident,,,True,Porzana fusca,"Zapornia fusca (Linnaeus, 1766)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474627,2,0.5912,0.0016,1,passage,12.0,1.0,False,Porzana parva,"Zapornia parva (Scopoli, 1769)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474628,9,0.6745,1.4437,12,migratory,1.0,12.0,False,Porzana pusilla,"Zapornia pusilla (Pallas, 1776)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474732,12,0.2208,0.5086,11,resident,,,False,Amaurornis phoenicurus,"Amaurornis phoenicurus (Pennant, 1769)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474750,12,0.3303,1.8974,11,resident,,,False,Amaurornis akool,"Zapornia akool (Sykes, 1832)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474831,3,0.5679,1.0675,1,migratory,12.0,2.0,True,Rallus aquaticus,"Rallus aquaticus Linnaeus, 1758",Gruiformes,Rallidae,LC,LEAST_CONCERN
2474936,5,0.8744,2.3114,1,migratory,11.0,3.0,False,Anthropoides virgo,"Anthropoides virgo (Linnaeus, 1758)",Gruiformes,Gruidae,LC,LEAST_CONCERN
2474945,11,0.4672,0.5584,11,resident,,,False,Grus antigone,"Antigone antigone (Linnaeus, 1758)",Gruiformes,Gruidae,VU,VULNERABLE
2474950,6,0.7318,0.9165,1,migratory,10.0,3.0,False,Grus grus,"Grus grus (Linnaeus, 1758)",Gruiformes,Gruidae,LC,LEAST_CONCERN
2474968,7,0.4855,5.263,5,migratory,2.0,10.0,False,Turnix tanki,"Turnix tanki Blyth, 1843",Charadriiformes,Turnicidae,LC,LEAST_CONCERN
2474982,12,0.8335,1.1851,8,resident,,,False,Turnix suscitator,"Turnix suscitator (J.F.Gmelin, 1789)",Charadriiformes,Turnicidae,LC,LEAST_CONCERN
