scientificName,speciesKey,gbif_species,gbif_confidence,gbif_status
Accipiter nisus,2480637,Accipiter nisus,100,EXACT
Accipiter nisus nisosimilis,2480637,Accipiter nisus,100,EXACT
Acridotheres fuscus,2489006,Acridotheres fuscus,100,EXACT
Acridotheres fuscus fuscus,2489006,Acridotheres fuscus,100,EXACT
Acridotheres fuscus mahrattensis,2489006,Acridotheres fuscus,100,EXACT
Acridotheres ginginianus,2489004,Acridotheres ginginianus,100,EXACT
Acridotheres tristis,2489005,Acridotheres tristis,100,EXACT
Acridotheres tristis tristis,2489005,Acridotheres tristis,100,EXACT
Acritillas indica,6100817,Acritillas indica,100,EXACT
Acrocephalus agricola,2493137,Acrocephalus agricola,100,EXACT
Acrocephalus dumetorum,2493145,Acrocephalus dumetorum,100,EXACT
Acrocephalus melanopogon,2493124,Acrocephalus melanopogon,100,EXACT
Acrocephalus stentoreus,5231333,Acrocephalus stentoreus,100,EXACT
Actinodura cyanouroptera,2493355,Minla cyanouroptera,100,EXACT
Actitis hypoleucos,2481800,Actitis hypoleucos,100,EXACT
Aegithina tiphia,2484096,Aegithina tiphia,100,EXACT
Aerodramus unicolor,2477226,Aerodramus unicolor,100,EXACT
Aethopyga siparaja,2484677,Aethopyga siparaja,100,EXACT
Aethopyga vigorsii,6086852,Aethopyga vigorsii,100,EXACT
Agapornis roseicollis,9770031,Agapornis roseicollis,99,EXACT
Alauda arvensis,8077224,Alauda arvensis,100,EXACT
Alauda gulgula,2490698,Alauda gulgula,100,EXACT
Alcedo atthis,2475532,Alcedo atthis,100,EXACT
Alcedo atthis bengalensis,2475532,Alcedo atthis,100,EXACT
Alcedo atthis taprobana,2475532,Alcedo atthis,100,EXACT
Alcedo meninting,2475494,Alcedo meninting,100,EXACT
Alcippe poioicephala,5231383,Alcippe poioicephala,100,EXACT
Amandava amandava,2493698,Amandava amandava,100,EXACT
Amaurornis phoenicurus,2474732,Amaurornis phoenicurus,100,EXACT
Amaurornis phoenicurus phoenicurus,2474732,Amaurornis phoenicurus,100,EXACT
Ammomanes phoenicura,5788823,Ammomanes phoenicura,100,EXACT
Anarhynchus alexandrinus,2480311,Charadrius alexandrinus,100,EXACT
Anarhynchus asiaticus,2480308,Charadrius asiaticus,100,EXACT
Anarhynchus atrifrons,,,95,HIGHERRANK
Anarhynchus leschenaultii,2480297,Charadrius leschenaultii,100,EXACT
Anas acuta,2498112,Anas acuta,100,EXACT
Anas crecca,8214667,Anas crecca,100,EXACT
Anas crecca crecca,8214667,Anas crecca,99,EXACT
Anas platyrhynchos,9761484,Anas platyrhynchos,100,EXACT
Anas platyrhynchos domesticus,9761484,Anas platyrhynchos,100,EXACT
Anas poecilorhyncha,9450106,Anas poecilorhyncha,99,EXACT
Anas poecilorhyncha poecilorhyncha,9450106,Anas poecilorhyncha,100,EXACT
Anastomus oscitans,5229410,Anastomus oscitans,100,EXACT
Anhinga melanogaster,2482081,Anhinga melanogaster,100,EXACT
Anous tenuirostris,2481112,Anous tenuirostris,100,EXACT
Anous tenuirostris tenuirostris,2481112,Anous tenuirostris,100,EXACT
Anser albifrons,2498017,Anser albifrons,100,EXACT
Anser anser,2498036,Anser anser,100,EXACT
Anser anser domesticus,2498036,Anser anser,99,EXACT
Anser anser domesticus × cygnoides domesticus,,,99,HIGHERRANK
Anser anser × cygnoides,,,99,HIGHERRANK
Anser cygnoides,2498034,Anser cygnoides,100,EXACT
Anser cygnoides domesticus,2498034,Anser cygnoides,100,EXACT
Anser fabalis,2498027,Anser fabalis,100,EXACT
Anser fabalis fabalis,2498027,Anser fabalis,100,EXACT
Anser indicus,2498035,Anser indicus,100,EXACT
Anthracoceros coronatus,2475988,Anthracoceros coronatus,100,EXACT
Anthus campestris,2490274,Anthus campestris,100,EXACT
Anthus cervinus,2490283,Anthus cervinus,100,EXACT
Anthus godlewskii,2490264,Anthus godlewskii,100,EXACT
Anthus hodgsoni,2490244,Anthus hodgsoni,99,EXACT
Anthus hodgsoni hodgsoni,2490244,Anthus hodgsoni,100,EXACT
Anthus richardi,9465111,Anthus richardi,100,EXACT
Anthus roseatus,2490290,Anthus roseatus,100,EXACT
Anthus rufulus,2490277,Anthus rufulus,100,EXACT
Anthus similis,2490292,Anthus similis,100,EXACT
Anthus trivialis,2490246,Anthus trivialis,100,EXACT
Antigone antigone,2474945,Grus antigone,100,EXACT
Apus affinis,5228662,Apus affinis,99,EXACT
Aquila fasciata,5844449,Aquila fasciata,100,EXACT
Aquila fasciata fasciata,5844449,Aquila fasciata,100,EXACT
Aquila heliaca,2480500,Aquila heliaca,100,EXACT
Aquila nipalensis,2480513,Aquila nipalensis,100,EXACT
Aquila nipalensis nipalensis,2480513,Aquila nipalensis,100,EXACT
Aquila rapax,2480514,Aquila rapax,100,EXACT
Aquila rapax vindhiana,2480514,Aquila rapax,100,EXACT
Arachnothera longirostra,2484653,Arachnothera longirostra,100,EXACT
Ardea alba,9752617,Ardea alba,99,EXACT
Ardea alba modesta,6066379,Ardea modesta,99,EXACT
Ardea cinerea,9797180,Ardea cinerea,100,EXACT
Ardea cinerea cinerea,9797180,Ardea cinerea,100,EXACT
Ardea coromanda,,,95,HIGHERRANK
Ardea intermedia,2480880,Egretta intermedia,100,EXACT
Ardea purpurea,2480934,Ardea purpurea,100,EXACT
Ardea purpurea manilensis,2480934,Ardea purpurea,100,EXACT
Ardeola bacchus,2480907,Ardeola bacchus,100,EXACT
Ardeola grayii,2480905,Ardeola grayii,100,EXACT
Ardeotis nigriceps,2474902,Ardeotis nigriceps,100,EXACT
Arenaria interpres,2481776,Arenaria interpres,100,EXACT
Argya affinis,2493324,Turdoides affinis,100,EXACT
Argya caudata,7340590,Turdoides caudata,100,EXACT
Argya malcolmi,2493314,Turdoides malcolmi,100,EXACT
Argya striata,7340537,Turdoides striata,100,EXACT
Argya striata orientalis,7340537,Turdoides striata,99,EXACT
Argya striata somervillei,7340537,Turdoides striata,99,EXACT
Argya subrufa,7340545,Turdoides subrufa,100,EXACT
Artamus fuscus,5230398,Artamus fuscus,100,EXACT
Arundinax aedon,6101024,Iduna aedon,100,EXACT
Asio flammeus,2497295,Asio flammeus,100,EXACT
Asio flammeus flammeus,2497295,Asio flammeus,100,EXACT
Athene blewitti,2497464,Heteroglaux blewitti,100,EXACT
Athene brama,2497280,Athene brama,100,EXACT
Athene brama brama,2497280,Athene brama,100,EXACT
Aviceda leuphotes,2480706,Aviceda leuphotes,100,EXACT
Aythya ferina,2498255,Aythya ferina,100,EXACT
Aythya fuligula,2498261,Aythya fuligula,100,EXACT
Aythya nyroca,2498259,Aythya nyroca,100,EXACT
Batrachostomus moniliger,2497135,Batrachostomus moniliger,100,EXACT
Botaurus cinnamomeus,,,96,HIGHERRANK
Botaurus flavicollis,,,96,HIGHERRANK
Botaurus flavicollis flavicollis,,,96,HIGHERRANK
Botaurus sinensis,,,96,HIGHERRANK
Botaurus stellaris,2480910,Botaurus stellaris,100,EXACT
Botaurus stellaris stellaris,2480910,Botaurus stellaris,100,EXACT
Bubo bengalensis,5959096,Bubo bengalensis,100,EXACT
Buceros bicornis,2476012,Buceros bicornis,100,EXACT
Bulweria fallax,2481605,Bulweria fallax,100,EXACT
Burhinus indicus,6066037,Burhinus indicus,100,EXACT
Butastur teesa,2480478,Butastur teesa,100,EXACT
Buteo buteo,2480537,Buteo buteo,100,EXACT
Buteo buteo vulpinus,2480537,Buteo buteo,100,EXACT
Buteo rufinus,2480564,Buteo rufinus,100,EXACT
Butorides atricapilla,,,96,HIGHERRANK
Cacomantis merulinus,2496253,Cacomantis merulinus,100,EXACT
Cacomantis passerinus,2496279,Cacomantis passerinus,100,EXACT
Cacomantis sonneratii,2496280,Cacomantis sonneratii,100,EXACT
Cairina moschata domestica,9751099,Cairina moschata,100,EXACT
Calandrella brachydactyla,2490681,Calandrella brachydactyla,100,EXACT
Calandrella dukhunensis,2490681,Calandrella brachydactyla,100,EXACT
Calidris alba,2481748,Calidris alba,100,EXACT
Calidris alpina,2481759,Calidris alpina,100,EXACT
Calidris canutus,2481765,Calidris canutus,100,EXACT
Calidris falcinellus,7537888,Calidris falcinellus,100,EXACT
Calidris ferruginea,2481741,Calidris ferruginea,99,EXACT
Calidris minuta,2481749,Calidris minuta,100,EXACT
Calidris pugnax,8250742,Calidris pugnax,100,EXACT
Calidris temminckii,2481740,Calidris temminckii,100,EXACT
Calidris tenuirostris,2481768,Calidris tenuirostris,100,EXACT
Calliope tschebaiewi,9347692,Calliope tschebaiewi,100,EXACT
Callonetta leucophrys,2498384,Callonetta leucophrys,100,EXACT
Caprimulgus affinis,2496952,Caprimulgus affinis,100,EXACT
Caprimulgus asiaticus,2496944,Caprimulgus asiaticus,100,EXACT
Caprimulgus atripennis,2496852,Caprimulgus atripennis,100,EXACT
Caprimulgus europaeus,8109681,Caprimulgus europaeus,100,EXACT
Caprimulgus indicus,9509689,Caprimulgus indicus,100,EXACT
Caprimulgus indicus indicus,9509689,Caprimulgus indicus,100,EXACT
Carpodacus erythrinus,2494459,Carpodacus erythrinus,100,EXACT
Cecropis daurica,9717283,Cecropis daurica,99,EXACT
Centropus bengalensis bengalensis,5231979,Centropus bengalensis,100,EXACT
Centropus sinensis,5232005,Centropus sinensis,100,EXACT
Centropus sinensis intermedius,5232005,Centropus sinensis,100,EXACT
Centropus sinensis parroti,5232005,Centropus sinensis,100,EXACT
Cephalopyrus flammiceps,2487395,Cephalopyrus flammiceps,100,EXACT
Ceryle rudis,2475679,Ceryle rudis,100,EXACT
Ceryle rudis leucomelanurus,2475679,Ceryle rudis,100,EXACT
Ceyx erithaca,5228386,Ceyx erithaca,100,EXACT
