name,monument_type,place,taluka,district,notification_status,lat,lon,geocode_status
Kazi Sahaeb Masjid,Other,Vasmat,Vasmat,Hingoli,Final,19.324014,77.151171,fallback
Khan-e-Alam Dargah,Other,Vasmat,Vasmat,Hingoli,Final,19.324014,77.151171,fallback
Jame Masjid and Shah Tankali Shah,Other,Aundha,Aundha,Hingoli,Final,19.47873,76.994591,fallback
Nagnath Mahadev Temple,Temple,Aundha,Aundha,Hingoli,Final,19.47873,76.994591,fallback
Narsimha Temple (Narsi),Temple,Narsi,Hingoli,Hingoli,Final,19.755607,77.013152,fallback
Panch Pandav Temple - Jain (Aundha),Temple,Aundha,Aundha,Hingoli,Final,19.47873,76.994591,fallback
Fort Ruins (Anthali),Fort,Anthali,Vasmat,Hingoli,Final,19.5431163,77.1739432,place_photon_s1
Temple and Well (Bamani),Temple,Bamani,Hingoli,Hingoli,Final,19.812451,76.651415,fallback
Mahadev Temple (Bamani),Temple,Bamani,Hingoli,Hingoli,Final,19.812451,76.651415,fallback
Vadgaon Fort,Fort,Vadgaon,Kalmanuri,Hingoli,Final,19.5431163,77.1739432,place_photon_s1
Hindu Temple (Araldhare),Temple,Araldhare,Vasmat,Hingoli,Final,19.5431163,77.1739432,place_photon_s1
Hemadpanti Temple (Bamani),Temple,Bamani,Hingoli,Hingoli,Final,19.812451,76.651415,fallback
Sant Namdeo Birthplace,Other,Narsi,Hingoli,Hingoli,Final,19.755607,77.013152,fallback
