name,monument_type,place,taluka,district,notification_status,lat,lon,geocode_status
Ankai Fort,Fort,Ankai,Yeola,Nashik,Final,20.188082,74.443247,ok
Tankai Fort,Fort,Ankai,Yeola,Nashik,Final,20.191357,74.454845,ok
Arnath Jain Caves,Caves,Anjaneri,Trimbak,Nashik,First,19.904035,73.575086,fallback
Indraleshwar Temple,Temple,Trimbakeshwar,Nashik City,Nashik,First,19.93212,73.530755,fallback
Kushavart Tirth,Other,Trimbakeshwar,Nashik,Nashik,First,19.93212,73.530755,fallback
Galna Fort,Fort,Galna,Malegaon,Nashik,Final,20.774302,74.535452,ok
Tribhuvaneshwar Temple,Temple,Trimbakeshwar,Nashik,Nashik,First,19.93212,73.530755,fallback
Tatoba Temple,Temple,Odha,Nashik,Nashik,Final,20.017795,73.913237,fallback
Nilkantheswar Mahadev Temple (Nashik),Temple,Nashik,Nashik,Nashik,First,20.011247,73.790236,fallback
Parshvanath Jain Caves,Caves,Anjaneri,Trimbak,Nashik,First,19.904035,73.575086,fallback
Ballaleshwar Temple,Temple,Trimbak,Trimbak,Nashik,Final,19.934428,73.531576,fallback
Malegaon Fort,Fort,Malegaon,Malegaon,Nashik,Final,20.557606,74.524651,fallback
Mahadev Temple (Devlana),Temple,Devlana,Satana,Nashik,First,,,failed
Mulher Fort,Fort,Mulher,Satana,Nashik,First,20.751199,74.063918,ok
Rangmahal (Chandwad),Other,Chandwad,Chandwad,Nashik,Final,20.324057,74.244002,fallback
Raghveshwar Temple,Temple,Chichondi,Yeola,Nashik,First,,,failed
Renuka Devi Temple,Temple,Chandwad,Chandwad,Nashik,Final,20.324057,74.244002,fallback
Vishnu Temple (Dhodambe),Temple,Dhodambe,Chandwad,Nashik,Final,20.331628,74.059594,fallback
Vaijeshwar Temple,Temple,Vavi,Sinnar,Nashik,Final,,,failed
Vateshwar Mahadev Temple,Temple,Dhodambe,Chandwad,Nashik,First,20.331628,74.059594,fallback
Sundar Narayan Temple,Temple,Nashik,Nashik,Nashik,Final,20.011247,73.790236,fallback
Sarkawada,Other,Nashik,Nashik,Nashik,Final,20.011247,73.790236,fallback
Salher Fort,Fort,Salher,Satana,Nashik,First,20.723804,73.94477,ok
Swatantraveer Savarkar Birthplace,Other,Bhagur,Nashik,Nashik,Final,19.877734,73.833854,fallback
Hatgad Fort,Fort,Hatgad,Surgana,Nashik,First,20.542537,73.76041,ok
Mahadev Temple (Deoli-Karad),Temple,Deoli-Karad,Kalvan,Nashik,First,,,failed
