name,category,district,area_sq_km,establishment_year,responsible_department,lat,lon,geocode_status
Amba Barwa Wildlife Sanctuary,wildlife_sanctuary,Buldhana,127.11,1997,Maharashtra Forest Department,21.226587,76.68881,fallback
Andhari Wildlife Sanctuary,wildlife_sanctuary,Chandrapur,509.27,1986,Maharashtra Forest Department,19.821672,79.674442,fallback
Aner Dam Wildlife Sanctuary,wildlife_sanctuary,Dhule,82.94,1986,Maharashtra Forest Department,21.309946,75.131185,fallback
Bhamragarh Wildlife Sanctuary,wildlife_sanctuary,Gadchiroli,104.38,1997,Maharashtra Forest Department,19.546445,80.741411,fallback
Bhimashankar Wildlife Sanctuary,wildlife_sanctuary,"Pune, Raigad, Thane",130.78,1985,Maharashtra Forest Department,19.085845,73.557142,ok
Bor Wildlife Sanctuary,wildlife_sanctuary,"Nagpur, Wardha",61.1,1970,Maharashtra Forest Department,21.069563,78.684682,fallback
Chaprala Wildlife Sanctuary,wildlife_sanctuary,Gadchiroli,134.78,1986,Maharashtra Forest Department,19.619467,79.847867,fallback
Deolgaon-Rehkuri Wildlife Sanctuary,wildlife_sanctuary,Ahmednagar,2.17,1980,Maharashtra Forest Department,18.59862,74.970796,fallback
Dnyanganga Wildlife Sanctuary,wildlife_sanctuary,Buldhana,205.21,1997,Maharashtra Forest Department,20.859766,76.493536,fallback
Gautala Wildlife Sanctuary,wildlife_sanctuary,"Aurangabad, Jalgaon",260.61,1986,Maharashtra Forest Department,20.345,75.085,manual
Ghodazari Wildlife Sanctuary,wildlife_sanctuary,Chandrapur,153.31,2018,Maharashtra Forest Department,20.546169,79.602277,fallback
Great Indian Bustard Sanctuary,wildlife_sanctuary,"Ahmednagar, Solapur",366.73,1979,Maharashtra Forest Department,17.642,75.925,manual
Isapur Wildlife Sanctuary,wildlife_sanctuary,Yavatmal,37.8,2014,Maharashtra Forest Department,20.0884,77.694111,fallback
Jayakwadi Bird Sanctuary,wildlife_sanctuary,"Ahmednagar, Aurangabad",341.05,1986,Maharashtra Forest Department,19.485,75.369,manual
Kalsubai Harishchandragad Wildlife Sanctuary,wildlife_sanctuary,Ahmednagar,361.71,1986,Maharashtra Forest Department,19.469101,73.743276,ok
